number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
60,mon,none,det,my,* t'aurais pu rencontrer mon copain -- you could've met my buddy,t'aurais pu rencontrer mon copain,5,you could've met my buddy,70,55084-n,70 | 55084-n,det,no_noun_verb_adj_bucket
61,me,none,pro,"me, to me, myself",* reviens me voir dans cinq ou six ans -- come back to see me in five or six years,reviens me voir dans cinq ou six ans,8,come back to see me in five or six years,65,63357-n,65 | 63357-n,pro,no_noun_verb_adj_bucket
64,lui,none,pro,"him, her",* mais j'ai confiance qu'en lui -- but I have confidence in him,mais j'ai confiance qu'en lui,5,but I have confidence in him,75,38286,75 | 38286,pro,no_noun_verb_adj_bucket
66,très,none,adv,very,"* j'ai été bonne? très, très bonne -- was I good? very, very good","j'ai été bonne? très, très bonne",6,"was I good? very, very good",82,26324,82 | 26324,adv,no_noun_verb_adj_bucket
71,sans,none,prep,without,* je fais plus jeune sans maquillage -- I look younger without makeup,je fais plus jeune sans maquillage,6,I look younger without makeup,81,25099,81 | 25099,prep,no_noun_verb_adj_bucket
73,notre,none,det,our,* notre ville a le sens de la communauté -- our city has a sense of community,notre ville a le sens de la communauté,8,our city has a sense of community,78,29713,78 | 29713,det,no_noun_verb_adj_bucket
74,dont,none,pro,"whose, of which",* on a tout ce dont tu rêvais en ville -- everything you dreamed about is available in town,on a tout ce dont tu rêvais en ville,9,everything you dreamed about is available in town,86,17841,86 | 17841,pro,no_noun_verb_adj_bucket
75,non,none,"adv,nmi","no, not","* non, je ne peux pas parler maintenant -- no, I can't talk now","non, je ne peux pas parler maintenant",7,"no, I can't talk now",81,24848,81 | 24848,adv|nmi,moved_from_nouns_contains_adv_or_conj
81,alors,none,adv,"then, so",* et alors? vous revenez quand? -- so? when are you coming back ?,et alors? vous revenez quand?,5,so? when are you coming back ?,84,18443,84 | 18443,adv,no_noun_verb_adj_bucket
82,après,none,"adv,prep",after,* il a succombé à ses blessures peu après -- he shortly thereafter succumbed to his wounds,il a succombé à ses blessures peu après,8,he shortly thereafter succumbed to his wounds,83,17733,83 | 17733,adv|prep,no_noun_verb_adj_bucket
91,peu,none,adv,little,* un secret se dévoile peu à peu -- a secret unfolds little by little,un secret se dévoile peu à peu,7,a secret unfolds little by little,81,18830,81 | 18830,adv,no_noun_verb_adj_bucket
92,lequel,none,pro,"who, whom, which",* il y a bien des points sur lesquels je voudrais faire des commentaires -- there are many points on which I would like to comment,il y a bien des points sur lesquels je voudrais faire des commentaires,13,there are many points on which I would like to comment,87,12507,87 | 12507,pro,no_noun_verb_adj_bucket
96,depuis,none,"adv,prep","since, for",* je le connais depuis le lycée -- I have known him since high school,je le connais depuis le lycée,6,I have known him since high school,83,16243,83 | 16243,adv|prep,no_noun_verb_adj_bucket
97,point,none,"adv,nm",point; at all,* je suis d'accord avec ce point de vue -- I'm in agreement with that point of view,je suis d'accord avec ce point de vue,8,I'm in agreement with that point of view,85,13938,85 | 13938,adv|nm,moved_from_nouns_contains_adv_or_conj
98,ainsi,none,adv,thus,* qu'est-ce qui le pousse à agir ainsi? -- what drives him to act that way?,qu'est-ce qui le pousse à agir ainsi?,7,what drives him to act that way?,86,12358,86 | 12358,adv,no_noun_verb_adj_bucket
103,toujours,none,adv,always,* tu es toujours en retard -- you're always late,tu es toujours en retard,5,you're always late,81,15106,81 | 15106,adv,no_noun_verb_adj_bucket
109,là,none,"adv,intj","there, here",* je n'étais pas passé par là -- I hadn't passed by there,je n'étais pas passé par là,6,I hadn't passed by there,73,21735-n,73 | 21735-n,adv|intj,no_noun_verb_adj_bucket
112,tu,none,pro,you,"* a ma place, tu ne le ferais pas -- in my position, you would not do it","a ma place, tu ne le ferais pas",8,"in my position, you would not do it",54,42483-n +s,54 | 42483-n +s,pro,no_noun_verb_adj_bucket
119,quand,none,"adv,conj",when,* tu aurais dû me tuer quand tu en as eu l'occasion -- you should have killed me when you had the chance,tu aurais dû me tuer quand tu en as eu l'occasion,11,you should have killed me when you had the chance,75,18704,75 | 18704,adv|conj,no_noun_verb_adj_bucket
121,contre,none,"adv,nm,prep",against,"* je vois, tu es en colère contre moi -- I see you're angry with me","je vois, tu es en colère contre moi",8,I see you're angry with me,78,15564,78 | 15564,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
122,sous,none,prep,under,* juste sous ton nez -- right under your nose,juste sous ton nez,4,right under your nose,84,10840,84 | 10840,prep,no_noun_verb_adj_bucket
124,ensemble,none,"adv,nm",together,* on n'a jamais été si bien ensemble -- we've never gotten along so well together,on n'a jamais été si bien ensemble,7,we've never gotten along so well together,90,6055,90 | 6055,adv|nm,moved_from_nouns_contains_adv_or_conj
130,seulement,none,adv,only,"* on va seulement rester quelques jours, ma chérie -- we're only going to stay a few days, my dear","on va seulement rester quelques jours, ma chérie",8,"we're only going to stay a few days, my dear",88,7546,88 | 7546,adv,no_noun_verb_adj_bucket
134,jusque,none,"adv,prep","to, up to, until",* ils me poursuivirent jusque dans la rue -- they followed me right into the street,ils me poursuivirent jusque dans la rue,7,they followed me right into the street,85,9482,85 | 9482,adv|prep,no_noun_verb_adj_bucket
145,donc,none,conj,"so, then, therefore, thus",* nous avons donc dû faire les calculs nous-mêmes -- we had to do the calculations ourselves,nous avons donc dû faire les calculs nous-mêmes,8,we had to do the calculations ourselves,74,15588,74 | 15588,conj,no_noun_verb_adj_bucket
150,beaucoup,Adverbs – differences across registers,adv,"much, a lot of, many",* il est en mesure de révéler beaucoup de choses -- he's in a position to reveal many things,il est en mesure de révéler beaucoup de choses,9,he's in a position to reveal many things,78,12421,78 | 12421,adv,no_noun_verb_adj_bucket
161,eux,none,pro,them,* c'est eux qui comptent -- they are the ones who matter,c'est eux qui comptent,4,they are the ones who matter,87,6631,87 | 6631,pro,no_noun_verb_adj_bucket
166,soit,none,"adv,conj",either...or,* il a pas le choix: soit il est une star soit il est rien -- he doesn't have a choice: either he's a star or he's nothing,il a pas le choix: soit il est une star soit il est rien,14,he doesn't have a choice: either he's a star or he's nothing,84,7623,84 | 7623,adv|conj,no_noun_verb_adj_bucket
167,ici,none,adv,here,* moi je reste ici -- I'm going to stay here,moi je reste ici,4,I'm going to stay here,77,11898,77 | 11898,adv,no_noun_verb_adj_bucket
168,rien,none,"adv,nm,pro",nothing,"* moi, je n'en sais rien -- I don't know anything about it","moi, je n'en sais rien",5,I don't know anything about it,69,16549,69 | 16549,adv|nm|pro,moved_from_nouns_contains_adv_or_conj
176,car,none,"conj,nm",because; bus,"* c'est dommage, car tu vas perdre un gros client -- it's too bad, because you're going to lose a major customer","c'est dommage, car tu vas perdre un gros client",9,"it's too bad, because you're going to lose a major customer",81,8864,81 | 8864,conj|nm,moved_from_nouns_contains_adv_or_conj
179,jamais,none,adv,never,* je jure de ne plus jamais te contacter -- I swear I will never contact you again,je jure de ne plus jamais te contacter,8,I swear I will never contact you again,73,12997,73 | 12997,adv,no_noun_verb_adj_bucket
181,tant,none,adv,"so much, so many",* mais vous avez tant à enseigner -- but you have so much to teach,mais vous avez tant à enseigner,6,but you have so much to teach,84,7284,84 | 7284,adv,no_noun_verb_adj_bucket
185,dès,none,prep,"from, as soon",* on me fera signe dès que vous descendrez -- they'll wave to me as soon as you get down there,on me fera signe dès que vous descendrez,8,they'll wave to me as soon as you get down there,89,4537,89 | 4537,prep,no_noun_verb_adj_bucket
190,peut-être,none,adv,"perhaps, maybe",* j'ai peut-être une idée -- I might have an idea,j'ai peut-être une idée,4,I might have an idea,79,9067,79 | 9067,adv,no_noun_verb_adj_bucket
192,maintenant,Adverbs – differences across registers,adv,now,* je ne peux pas partir maintenant -- I can't leave now,je ne peux pas partir maintenant,6,I can't leave now,78,9309+s,78 | 9309+s,adv,no_noun_verb_adj_bucket
193,pourquoi,Adverbs – differences across registers,"adv,conj,nmi",why,* pourquoi tu ne m'invites pas? -- why don't you invite me?,pourquoi tu ne m'invites pas?,5,why don't you invite me?,74,11128-n +s,74 | 11128-n +s,adv|conj|nmi,moved_from_nouns_contains_adv_or_conj
195,trop,none,adv,"too much, too many",* la vie est trop courte. essayez d'être heureuse -- life is too short. try to be happy,la vie est trop courte. essayez d'être heureuse,8,life is too short. try to be happy,78,9356,78 | 9356,adv,no_noun_verb_adj_bucket
198,devant,none,"adv,nm,prep","in front, ahead",* une fumée montait devant nous sur l'horizon -- smoke billowed ahead of us on the horizon,une fumée montait devant nous sur l'horizon,7,smoke billowed ahead of us on the horizon,81,7783,81 | 7783,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
206,chez,none,prep,"at, with",* elle ira peut être vivre définitivement chez lui -- she might go live with him permanently,elle ira peut être vivre définitivement chez lui,8,she might go live with him permanently,78,8646,78 | 8646,prep,no_noun_verb_adj_bucket
207,te,none,pro,"you, to you, from you",* je vais t'emmener chez un médecin -- I'm going to take you to a doctor,je vais t'emmener chez un médecin,6,I'm going to take you to a doctor,51,23312-n +s,51 | 23312-n +s,pro,no_noun_verb_adj_bucket
214,votre,none,det,your,* permettez-moi de vous parler dans votre langue -- allow me to speak to you in your language,permettez-moi de vous parler dans votre langue,7,allow me to speak to you in your language,64,15483-n +s,64 | 15483-n +s,det,no_noun_verb_adj_bucket
225,près,none,"adv,prep","near, nearby, close by",* il y a un siège vide près de vous -- there's an empty seat near you,il y a un siège vide près de vous,9,there's an empty seat near you,81,6660,81 | 6660,adv|prep,no_noun_verb_adj_bucket
229,ni,none,conj,nor,"* je ne mange pas de viandes, ni de produits laitiers -- I don't eat meat or dairy products","je ne mange pas de viandes, ni de produits laitiers",10,I don't eat meat or dairy products,77,8528,77 | 8528,conj,no_noun_verb_adj_bucket
230,puis,none,adv,"then, so","* elle a tenté de me tuer, puis elle m'a chassée -- she tried to kill me, then she chased me","elle a tenté de me tuer, puis elle m'a chassée",10,"she tried to kill me, then she chased me",72,10366,72 | 10366,adv,no_noun_verb_adj_bucket
233,aujourd'hui,Time,adv,today,"* je peux, aujourd'hui encore, en réciter -- even today I can still recite some of them","je peux, aujourd'hui encore, en réciter",6,even today I can still recite some of them,73,9905,73 | 9905,adv,no_noun_verb_adj_bucket
234,comment,Adverbs – differences across registers,"adv,conj,intj,nmi",how,* voyons un peu comment les choses se sont passées -- let's take a look at how things unfolded,voyons un peu comment les choses se sont passées,9,let's take a look at how things unfolded,72,10133+s,72 | 10133+s,adv|conj|intj|nmi,moved_from_nouns_contains_adv_or_conj
235,surtout,none,"adv,nm","especially, above all",* j'ai surtout besoin d'argent -- what I need above all is money,j'ai surtout besoin d'argent,4,what I need above all is money,83,5548,83 | 5548,adv|nm,moved_from_nouns_contains_adv_or_conj
240,selon,none,prep,according to,* tout est prêt selon vos désirs -- everything's ready according to your wishes,tout est prêt selon vos désirs,6,everything's ready according to your wishes,68,11561,68 | 11561,prep,no_noun_verb_adj_bucket
246,également,none,adv,"also, too, as well, equally",* reculer est également hors de question -- backing down is also not an option,reculer est également hors de question,6,backing down is also not an option,74,9011,74 | 9011,adv,no_noun_verb_adj_bucket
247,ci,none,"adv,pro","this one, here","* et celui-ci? oui, il est vraiment super -- and this one here? yes, he's really great","et celui-ci? oui, il est vraiment super",7,"and this one here? yes, he's really great",83,5303,83 | 5303,adv|pro,no_noun_verb_adj_bucket
256,lorsque,none,conj,when,* que se passe-t-il lorsque nous manquons de sucre? -- what happens when we lack sugar?,que se passe-t-il lorsque nous manquons de sucre?,8,what happens when we lack sugar?,74,8682,74 | 8682,conj,no_noun_verb_adj_bucket
265,ensuite,none,adv,next,* ensuite il va au restaurant -- then he's going to the restaurant,ensuite il va au restaurant,5,then he's going to the restaurant,88,3533,88 | 3533,adv,no_noun_verb_adj_bucket
272,plutôt,none,adv,rather,* ce jet vole plutôt bas -- this jet is flying rather low,ce jet vole plutôt bas,5,this jet is flying rather low,83,4794,83 | 4794,adv,no_noun_verb_adj_bucket
275,quant,none,adv,as for,* les vents tempêtueux ont modifié la situation quant aux avalanches -- the stormy winds changed the avalanche situation,les vents tempêtueux ont modifié la situation quant aux avalanches,10,the stormy winds changed the avalanche situation,89,2911,89 | 2911,adv,no_noun_verb_adj_bucket
284,oui,Adverbs – differences across registers,"adv,nmi",yes,"* oui, oui, je sais! -- yes, yes, I know","oui, oui, je sais!",4,"yes, yes, I know",62,12295n+s,62 | 12295n+s,adv|nmi,moved_from_nouns_contains_adv_or_conj
287,souvent,none,adv,often,"* mais alors souvent en fin de soirée c'est la fête -- well, often the night ends with a party",mais alors souvent en fin de soirée c'est la fête,10,"well, often the night ends with a party",79,5945,79 | 5945,adv,no_noun_verb_adj_bucket
297,quoi,none,pro,what,* je ne sais pas de quoi vous parlez -- I don't know what you're talking about,je ne sais pas de quoi vous parlez,8,I don't know what you're talking about,63,10985-n +s,63 | 10985-n +s,pro,no_noun_verb_adj_bucket
300,or,Materials,"conj,nm","gold; hence, thus",* je ne suis pas chercheuse d'or -- I'm not a gold-digger,je ne suis pas chercheuse d'or,6,I'm not a gold-digger,87,3245,87 | 3245,conj|nm,moved_from_nouns_contains_adv_or_conj
312,longtemps,none,adv,"long time, a long while",* pendant longtemps il ne bougea pas de son lit -- for a long while he didn't move from his bed,pendant longtemps il ne bougea pas de son lit,9,for a long while he didn't move from his bed,84,3743,84 | 3743,adv,no_noun_verb_adj_bucket
321,assez,none,adv,enough,* les journées ne sont plus assez longues -- the days are no longer long enough,les journées ne sont plus assez longues,7,the days are no longer long enough,77,5630,77 | 5630,adv,no_noun_verb_adj_bucket
323,chacun,none,pro,each,"* ils ont chacun leurs intérêts, leurs passions -- they each have their own interests, passions","ils ont chacun leurs intérêts, leurs passions",7,"they each have their own interests, passions",84,3785,84 | 3785,pro,no_noun_verb_adj_bucket
326,d'abord,none,adv,first of all,* je voudrais d'abord savoir quel métier tu exerces -- I would first of all like to know what you do for a living,je voudrais d'abord savoir quel métier tu exerces,8,I would first of all like to know what you do for a living,83,3844,83 | 3844,adv,no_noun_verb_adj_bucket
341,loin,Adverbs – differences across registers,"adv,nm",far,* tu es venu de si loin -- you came from so far away,tu es venu de si loin,6,you came from so far away,80,4677,80 | 4677,adv|nm,moved_from_nouns_contains_adv_or_conj
348,tard,none,adv,late,"* retournez au lit, il est tard -- go back to bed, it's late 7878d8878688","retournez au lit, il est tard",6,"go back to bed, it's late 7878d8878688",82,3996,82 | 3996,adv,no_noun_verb_adj_bucket
349,enfin,none,adv,"at last, finally",* elle avait enfin la réponse -- she finally got the answer,elle avait enfin la réponse,5,she finally got the answer,74,5989,74 | 5989,adv,no_noun_verb_adj_bucket
352,cependant,none,"adv,conj",however,"* cette sécurité se trouve cependant menacée -- this security is, however, threatened",cette sécurité se trouve cependant menacée,6,"this security is, however, threatened",81,4220,81 | 4220,adv|conj,no_noun_verb_adj_bucket
360,ailleurs,none,adv,"elsewhere, somewhere else",* les négociations décisives se tiennent ailleurs -- the decisive negotiations are taking place elsewhere,les négociations décisives se tiennent ailleurs,6,the decisive negotiations are taking place elsewhere,84,3382,84 | 3382,adv,no_noun_verb_adj_bucket
361,vraiment,Adverbs – differences across registers,adv,"truly, really, very","* très mauvais, c'est pas vraiment sexy -- very bad, it's not really sexy","très mauvais, c'est pas vraiment sexy",6,"very bad, it's not really sexy",70,7077?n +s,70 | 7077?n +s,adv,no_noun_verb_adj_bucket
377,autant,none,adv,"as much, as many",* il a une bonne raison pour tarder autant -- he has a good reason for being so late,il a une bonne raison pour tarder autant,8,he has a good reason for being so late,84,3276,84 | 3276,adv,no_noun_verb_adj_bucket
389,parmi,none,prep,among,* il y en a un parmi vous qui est un démon -- one among you is a demon,il y en a un parmi vous qui est un démon,11,one among you is a demon,84,3165,84 | 3165,prep,no_noun_verb_adj_bucket
404,afin,none,conj,"order to, so that",* fixer des cordes afin de descendre en rappel -- set some ropes so that you can rappel down,fixer des cordes afin de descendre en rappel,8,set some ropes so that you can rappel down,76,4800,76 | 4800,conj,no_noun_verb_adj_bucket
406,malgré,none,prep,"despite, in spite of",* nous serons bons amis malgré tout -- we will be good friends in spite of it all,nous serons bons amis malgré tout,6,we will be good friends in spite of it all,85,2886,85 | 2886,prep,no_noun_verb_adj_bucket
410,parfois,none,adv,sometimes,* il est parfois sage d'être un peu fou -- sometimes it's wise to be a little bit crazy,il est parfois sage d'être un peu fou,8,sometimes it's wise to be a little bit crazy,83,3241,83 | 3241,adv,no_noun_verb_adj_bucket
411,lors,Adverbs – differences across registers,adv,at the time of,* je vous ai vu lors de votre dernière visite -- I saw you at the time of our last visit,je vous ai vu lors de votre dernière visite,9,I saw you at the time of our last visit,69,6429,69 | 6429,adv,no_noun_verb_adj_bucket
439,notamment,Adverbs – differences across registers,adv,notably,* on ignore notamment si des gendarmes figurent parmi les victimes -- at the moment it's unsure whether policemen are among the victims,on ignore notamment si des gendarmes figurent parmi les victimes,10,at the moment it's unsure whether policemen are among the victims,71,5570,71 | 5570,adv,no_noun_verb_adj_bucket
460,pourtant,none,adv,"yet, nonetheless, nevertheless",* pourtant cette perspective aussi m'effrayait -- yet this outlook also frightened me,pourtant cette perspective aussi m'effrayait,5,yet this outlook also frightened me,77,4017,77 | 4017,adv,no_noun_verb_adj_bucket
481,presque,Adverbs – differences across registers,adv,almost,* il y a presque 10 millions de lignes téléphoniques -- there are almost 10 million telephone lines,il y a presque 10 millions de lignes téléphoniques,9,there are almost 10 million telephone lines,77,3680,77 | 3680,adv,no_noun_verb_adj_bucket
522,lui-même,none,pro,himself,* il ne s'est pas sauvé lui-même -- he didn't save himself,il ne s'est pas sauvé lui-même,6,he didn't save himself,76,3563,76 | 3563,pro,no_noun_verb_adj_bucket
524,voilà,none,prep,"right, there, here","* tiens, c'est pour toi. voilà -- here, this is for you. take it","tiens, c'est pour toi. voilà",5,"here, this is for you. take it",68,5135-n,68 | 5135-n,prep,no_noun_verb_adj_bucket
528,puisque,none,conj,since,* je ne lui répondais pas puisque j'étais muet -- I didn't answer him since I was a mute,je ne lui répondais pas puisque j'étais muet,8,I didn't answer him since I was a mute,82,2615,82 | 2615,conj,no_noun_verb_adj_bucket
560,c'est-à-dire,none,adv,in other words,"* il s'agit de vivre, c'est-à-dire d'avancer -- it's about living, or in other words about progressing","il s'agit de vivre, c'est-à-dire d'avancer",6,"it's about living, or in other words about progressing",78,3100,78 | 3100,adv,no_noun_verb_adj_bucket
581,partout,none,adv,everywhere,* je t'ai cherché partout -- I looked everywhere for you,je t'ai cherché partout,4,I looked everywhere for you,83,2191,83 | 2191,adv,no_noun_verb_adj_bucket
588,d'ailleurs,none,adv,"moreover, besides, for that matter","* je n'entends d'ailleurs pas le tenir secret -- besides, I don't intend to keep it a secret",je n'entends d'ailleurs pas le tenir secret,7,"besides, I don't intend to keep it a secret",77,3086,77 | 3086,adv,no_noun_verb_adj_bucket
593,rapidement,none,adv,"quickly, rapidly",* ils ont passé rapidement dans l'histoire -- they disappeared quickly into history,ils ont passé rapidement dans l'histoire,6,they disappeared quickly into history,85,1894,85 | 1894,adv,no_noun_verb_adj_bucket
594,autour,none,"adv,nm",around,* je t'emmènerai autour du monde -- I'll take you around the world,je t'emmènerai autour du monde,5,I'll take you around the world,77,3008,77 | 3008,adv|nm,moved_from_nouns_contains_adv_or_conj
596,d'après,none,prep,to,"* qui a bâti les pyramides d'après vous? -- according to you, who built the pyramids?",qui a bâti les pyramides d'après vous?,7,"according to you, who built the pyramids?",90,1183,90 | 1183,prep,no_noun_verb_adj_bucket
614,auprès,none,adv,"nearby, close to",* il avait beaucoup de succès auprès des femmes -- he had much success with women,il avait beaucoup de succès auprès des femmes,8,he had much success with women,83,2114,83 | 2114,adv,no_noun_verb_adj_bucket
615,simplement,Adverbs – differences across registers,adv,simply,* c'est tout simplement inacceptable -- it's just simply unacceptable,c'est tout simplement inacceptable,4,it's just simply unacceptable,76,3132,76 | 3132,adv,no_noun_verb_adj_bucket
678,environ,Adverbs – differences across registers,"adv,prep,nm","about, thereabouts, or so",* mon père et ma mère sont mariés depuis environ 60 ans -- my father and mother have been married for about 60 years,mon père et ma mère sont mariés depuis environ 60 ans,11,my father and mother have been married for about 60 years,71,3450,71 | 3450,adv|prep|nm,moved_from_nouns_contains_adv_or_conj
711,vite,none,adv,"fast, quickly",* déployez les sentinelles ... vite! -- dispatch the guards ... quick!,déployez les sentinelles ... vite!,5,dispatch the guards ... quick!,73,3088,73 | 3088,adv,no_noun_verb_adj_bucket
