number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
110,certain,Emotions,"adj,det,nm,pro","certain, sure",* certains ont affirmé que le gouvernement était trop faible -- some contend that the government was too weak,certains ont affirmé que le gouvernement était trop faible,9,some contend that the government was too weak,79,16317,79 | 16317
111,fin,none,"adj,adv,nf,nm",end; gist; clever person,* la fin est importante en toutes choses -- the ending is important in everything,la fin est importante en toutes choses,7,the ending is important in everything,85,10595,85 | 10595
125,chose,none,"adj(f),nf",thing,* les choses pourraient bien changer à l'avenir -- things could change in the future,les choses pourraient bien changer à l'avenir,7,things could change in the future,75,18086-n,75 | 18086-n
126,enfant,Family,"nm,nf,adj(f)",child,* mes enfants sont en vie -- my children are alive,mes enfants sont en vie,5,my children are alive,85,9836,85 | 9836
128,politique,none,nadj(f),politics; political,* elle se spécialise en sciences politiques -- her specialty is political science,elle se spécialise en sciences politiques,6,her specialty is political science,77,15972,77 | 15972
138,petit,none,nadj,"small, little",* ce petit drogué n'a pas tort -- this little drug addict isn't wrong,ce petit drogué n'a pas tort,6,this little drug addict isn't wrong,76,15029,76 | 15029
141,fait,none,"adj,nm","done, fact","* dans les faits, il a raison -- factually, he is correct","dans les faits, il a raison",6,"factually, he is correct",80,12241,80 | 12241
142,tel,none,"adj,det,pro",such,* je vais m'abstenir d'employer un tel langage -- I'm going to refrain from using such language,je vais m'abstenir d'employer un tel langage,7,I'm going to refrain from using such language,84,9491,84 | 9491
143,droit,none,"adj,adv,nm",right,* elle a le droit de tout savoir -- she has the right to know everything,elle a le droit de tout savoir,7,she has the right to know everything,78,13566,78 | 13566
146,quel,none,"det,adj,pro","which, what",* quel livre cherchiez-vous? -- which book are you looking for?,quel livre cherchiez-vous?,3,which book are you looking for?,80,11958,80 | 11958
147,général,none,nadj,general,* voici quelques conseils généraux -- here are a few general pieces of advice,voici quelques conseils généraux,4,here are a few general pieces of advice,82,10245,82 | 10245
151,chaque,none,"det,adj",each,* chaque entreprise doit avoir sa propre organisation -- every company must have its own organization,chaque entreprise doit avoir sa propre organisation,7,every company must have its own organization,86,7202,86 | 7202
152,jeune,Emotions,nadj(f),young,* le gouvernement cherche à exploiter les jeunes -- the government is trying to exploit young people,le gouvernement cherche à exploiter les jeunes,7,the government is trying to exploit young people,83,9357,83 | 9357
164,plan,none,"adj,nm",plan,* achetez donc un plan de la ville -- so buy a map of the city,achetez donc un plan de la ville,7,so buy a map of the city,87,5978,87 | 5978
175,possible,none,adj(f),possible,* nous avons donc deux scénarios possibles -- so we have two possible scenarios,nous avons donc deux scénarios possibles,6,so we have two possible scenarios,86,6178,86 | 6178
186,moyen,none,"adj,nm","means, way; medium",* il songeait aux moyens de profiter de sa victoire -- he was dreaming of a way to profit from his victory,il songeait aux moyens de profiter de sa victoire,9,he was dreaming of a way to profit from his victory,81,8104,81 | 8104
194,meilleur,none,nadj,"better, best",* j'apprends à être un meilleur mari -- I'm learning to be a better husband,j'apprends à être un meilleur mari,6,I'm learning to be a better husband,87,5030,87 | 5030
202,long,none,"adv,nadj","long, lengthy","* l'éducation sur le long terme paiera, j'en suis convaincu -- long-term education pays off, I'm convinced of that","l'éducation sur le long terme paiera, j'en suis convaincu",9,"long-term education pays off, I'm convinced of that",82,6947,82 | 6947
212,simple,Emotions,nadj(f),simple,* on préférerait une réponse simple -- we would prefer a simple answer,on préférerait une réponse simple,5,we would prefer a simple answer,90,3579,90 | 3579
213,plusieurs,none,"det,adj,pro",several,* il y a plusieurs formes d'humour -- there are several types of humor,il y a plusieurs formes d'humour,6,there are several types of humor,80,7714,80 | 7714
215,important,Emotions,nadj,important,* c'est une question extrêmement importante -- it's an extremely important question,c'est une question extrêmement importante,5,it's an extremely important question,75,9564,75 | 9564
216,présent,Time,nadj,present,* il est trop tard pour dîner à présent -- it's too late to have supper now,il est trop tard pour dîner à présent,8,it's too late to have supper now,86,5151,86 | 5151
217,mieux,none,"adji(pl),adv,nm",better,* je ne vous ai jamais mieux aimée -- I have never loved you more,je ne vous ai jamais mieux aimée,7,I have never loved you more,82,6736,82 | 6736
227,national,none,nadj,national,* il y avait l'intérêt national français -- the national interests of the French were involved,il y avait l'intérêt national français,6,the national interests of the French were involved,74,9570,74 | 9570
237,propre,Emotions,nadj(f),"clean, proper","* la pétasse était propre, mec -- the woman was clean, man","la pétasse était propre, mec",5,"the woman was clean, man",85,5012,85 | 5012
251,français,Nationalities,nadj(pl),French,* il faut leur parler en français -- you need to speak to them in French,il faut leur parler en français,6,you need to speak to them in French,71,9969,71 | 9969
261,économique,none,nadj(f),"economic, economical",* le rétablissement économique de l'Asie est plus rapide que prévu -- Asian economic recovery is faster than projected,le rétablissement économique de l'Asie est plus rapide que prévu,10,Asian economic recovery is faster than projected,77,7421,77 | 7421
264,haut,none,"adv,nadj","top, high",* voilà qui vous lancera dans la haute société -- that's who will launch you into high society,voilà qui vous lancera dans la haute société,8,that's who will launch you into high society,84,4897,84 | 4897
270,sûr,Emotions,adj,sure,"* tu m'attends? bien sûr, poupée -- will you wait for me? of course, doll","tu m'attends? bien sûr, poupée",5,"will you wait for me? of course, doll",78,6629,78 | 6629
274,mauvais,Emotions,"adv,nadj(pl)","bad, wrong",* il constitue un pas dans la mauvaise direction -- it constitutes a step in the wrong direction,il constitue un pas dans la mauvaise direction,8,it constitutes a step in the wrong direction,88,3425,88 | 3425
276,mort,none,"adj,nf",dead; death,* la mort ne m'effraye pas -- death doesn't frighten me,la mort ne m'effraye pas,5,death doesn't frighten me,71,8855,71 | 8855
277,mal,none,"adji,adv,nm",bad,"* autrement dit, la journée a plutôt mal commencé -- in other words, the day started out rather badly","autrement dit, la journée a plutôt mal commencé",8,"in other words, the day started out rather badly",77,6809,77 | 6809
282,international,none,nadj,international,* elle jouit également d'une excellente réputation internationale -- she also has an excellent international reputation,elle jouit également d'une excellente réputation internationale,7,she also has an excellent international reputation,70,9001,70 | 9001
285,public,Emotions,nadj,"public, audience",* je dois beaucoup au public -- I owe a lot to the public,je dois beaucoup au public,5,I owe a lot to the public,78,6074,78 | 6074
286,humain,none,nadj,human,"* vous savez, on est humains, nous aussi -- you know, we are also human","vous savez, on est humains, nous aussi",7,"you know, we are also human",81,5151,81 | 5151
292,vrai,none,"adv,nadj",true,"* ah, oui, c'est vrai -- oh, yes, that's right","ah, oui, c'est vrai",4,"oh, yes, that's right",73,7846,73 | 7846
296,difficile,Emotions,nadj(f),difficult,"* c'est difficile, monsieur, très difficile d'être un homme -- sir, it's difficult--very difficult--to be a man","c'est difficile, monsieur, très difficile d'être un homme",8,"sir, it's difficult--very difficult--to be a man",84,4116,84 | 4116
301,social,Emotions,nadj,social,* elle a une dimension sociale autant que biologique -- it has a social dimension as much as a biological one,elle a une dimension sociale autant que biologique,8,it has a social dimension as much as a biological one,71,8096,71 | 8096
304,juste,Adverbs – differences across registers,"adv,nadj(f)","just, only; fair","* vous êtes juste et impartial, comme toujours -- you're fair and impartial, as always","vous êtes juste et impartial, comme toujours",7,"you're fair and impartial, as always",79,5294,79 | 5294
305,étranger,Relationships,nadj,foreigner; foreign,* la situation est bien différente à l'étranger -- the situation is very different abroad,la situation est bien différente à l'étranger,7,the situation is very different abroad,76,6272,76 | 6272
314,courant,Natural features and plants,"adj,nm",current,"* je suis au courant, il a téléphoné -- I'm aware of it, he telephoned","je suis au courant, il a téléphoné",7,"I'm aware of it, he telephoned",89,2490,89 | 2490
335,clair,Emotions,"adv,nadj",clear,"* la nuit était froide et claire, sous la lune -- the night was cold and clear, under the moon","la nuit était froide et claire, sous la lune",9,"the night was cold and clear, under the moon",86,3080,86 | 3080
344,libre,Emotions,adj(f),free,* demain je suis libre toute la journée -- tomorrow I'm free all day,demain je suis libre toute la journée,7,tomorrow I'm free all day,87,2703,87 | 2703
350,différent,Emotions,adj,different,* c'est un bruit complètement différent -- it's a completely different noise,c'est un bruit complètement différent,5,it's a completely different noise,75,5696,75 | 5696
366,nombreux,none,adj(pl),numerous,* j'ai participé à de nombreux débats de ce genre -- I have participated in numerous debates of this kind,j'ai participé à de nombreux débats de ce genre,9,I have participated in numerous debates of this kind,78,4678,78 | 4678
374,américain,Nationalities,nadj,American,* c'est la voie que les Américains ont choisie -- it's the path that the Americans have chosen,c'est la voie que les Américains ont choisie,8,it's the path that the Americans have chosen,60,9762,60 | 9762
379,second,none,"adj,det,nm",second,* j'ai écrit la seconde partie du roman avant la première -- I wrote the second part of the novel before the first,j'ai écrit la seconde partie du roman avant la première,10,I wrote the second part of the novel before the first,84,3301,84 | 3301
380,prochain,none,nadj,next,* je vous offre 50% sur votre billet prochain -- I'll offer you 50% off your next ticket,je vous offre 50% sur votre billet prochain,8,I'll offer you 50% off your next ticket,76,5091,76 | 5091
381,particulier,Emotions,nadj,"particular, peculiar; person",* j'ai un regard un peu particulier -- I have a somewhat peculiar look,j'ai un regard un peu particulier,6,I have a somewhat peculiar look,78,4643,78 | 4643
392,ancien,none,"adj,nm",ancient; former,* je dis merci à tous les anciens combattants -- I thank all the combat veterans,je dis merci à tous les anciens combattants,8,I thank all the combat veterans,73,5545,73 | 5545
393,beau,Emotions,"adj,nm","handsome, fine, right","* ce sont là de belles paroles, mais des paroles creuses -- those are pretty words, but empty ones","ce sont là de belles paroles, mais des paroles creuses",10,"those are pretty words, but empty ones",71,6210,71 | 6210
394,plein,none,"adv,nadj,prep",full,* l'église est pleine -- the church is full,l'église est pleine,3,the church is full,81,3694,81 | 3694
398,personnel,none,nadj,"personnel, personal",* vous semblez vous inspirer de votre vie personnelle pour écrire -- you seem to draw inspiration from your own personal life in writing,vous semblez vous inspirer de votre vie personnelle pour écrire,10,you seem to draw inspiration from your own personal life in writing,81,3741,81 | 3741
400,parti,none,nadj,party,* il n'y a qu'un parti à blâmer -- there's only one party to blame,il n'y a qu'un parti à blâmer,7,there's only one party to blame,66,7249,66 | 7249
402,unique,Emotions,adj(f),unique,* j'ai longtemps cru que tu étais unique -- I have long believed that you were unique,j'ai longtemps cru que tu étais unique,7,I have long believed that you were unique,89,1936,89 | 1936
412,sérieux,Emotions,nadj(pl),serious,"* mon thème est sérieux, mais mon texte est rigolo -- my topic is serious, but my text is comical","mon thème est sérieux, mais mon texte est rigolo",9,"my topic is serious, but my text is comical",89,2052,89 | 2052
419,gros,none,"adv,nadj(pl)",big,* ce n'était pas un gros chien -- it wasn't a large dog,ce n'était pas un gros chien,6,it wasn't a large dog,80,3786,80 | 3786
422,prêt,Emotions,"adj,nm",ready,* le dîner est prêt! -- supper is ready!,le dîner est prêt!,4,supper is ready!,80,3721,80 | 3721
433,intérieur,none,nadj,"interior, inside",* je sentais mon cœur battre à l'intérieur -- I felt my heart beating within me,je sentais mon cœur battre à l'intérieur,7,I felt my heart beating within me,80,3574,80 | 3574
443,grave,Emotions,"adv,nadj(f),nm","serious, grave",* ce n'est peut-être pas si grave que ça -- maybe it's not quite that serious,ce n'est peut-être pas si grave que ça,8,maybe it's not quite that serious,85,2606,85 | 2606
445,européen,Nationalities,nadj,European,* vous avez fait une tournée européenne -- you toured around Europe,vous avez fait une tournée européenne,6,you toured around Europe,57,9055-l,57 | 9055-l
451,nécessaire,none,nadj(f),"necessary, required",* je ne pense pas qu'il soit nécessaire de la distribuer -- I don't think it will be necessary to distribute it,je ne pense pas qu'il soit nécessaire de la distribuer,10,I don't think it will be necessary to distribute it,73,4920,73 | 4920
455,entier,none,nadj,"whole, full",* le monde entier est contre nous -- the whole world is against us,le monde entier est contre nous,6,the whole world is against us,86,2212,86 | 2212
458,principal,none,nadj,principal,* trouver le rôle principal s'est révélé assez problématique -- finding the lead role turned out to be a problem,trouver le rôle principal s'est révélé assez problématique,8,finding the lead role turned out to be a problem,74,4477,74 | 4477
467,ami,Relationships,nadj,friend,* je te présente mon ami -- this is my friend,je te présente mon ami,5,this is my friend,71,5135,71 | 5135
468,bas,Clothing,"adv,nadj(pl),nm(pl)",low; stockings,"* elle ajouta presque à voix basse, comme quelqu'un qui parle dans l'obscurité -- she spoke in a low voice, like someone speaking from obscurity","elle ajouta presque à voix basse, comme quelqu'un qui parle dans l'obscurité",12,"she spoke in a low voice, like someone speaking from obscurity",81,3141,81 | 3141
476,sauf,none,"adj,prep",except; safe,* tout le monde rit sauf elle -- everyone's laughing except her,tout le monde rit sauf elle,6,everyone's laughing except her,89,1706,89 | 1706
484,futur,Time,nadj,future,"* un futur sans guerre, c'est cool, hein? -- a future without wars--cool, eh?","un futur sans guerre, c'est cool, hein?",7,"a future without wars--cool, eh?",88,1823,88 | 1823
501,passé,Time,"nadj,prep",past,* j'étais prisonnier de mon passé -- I was a prisoner of my past,j'étais prisonnier de mon passé,5,I was a prisoner of my past,87,1843,87 | 1843
511,responsable,Emotions,nadj(f),responsible,* je ne suis pas le seul responsable -- I'm not the only one responsible,je ne suis pas le seul responsable,7,I'm not the only one responsible,69,4952,69 | 4952
513,tôt,none,"adji,adv",early,"* plus tôt on partira, mieux ce sera -- the sooner we leave, the better it will be","plus tôt on partira, mieux ce sera",7,"the sooner we leave, the better it will be",85,2124,85 | 2124
518,objectif,Emotions,"adj,nm","objective, aim, goal; lens",* je ne me suis jamais fixé d'objectifs précis -- I never set definite goals for myself,je ne me suis jamais fixé d'objectifs précis,8,I never set definite goals for myself,74,3962,74 | 3962
545,court,none,"adj,adv,nm",short,"* j'inscris mes objectifs long terme, court terme -- I wrote my short-term and long-term goals","j'inscris mes objectifs long terme, court terme",7,I wrote my short-term and long-term goals,83,2356,83 | 2356
546,parent,Family,nadj,parent,* il faudrait que je te présente mes parents -- I will have to introduce you to my parents,il faudrait que je te présente mes parents,8,I will have to introduce you to my parents,82,2454,82 | 2454
549,mondial,none,adj,"world, global",* nous vivons dans une économie mondiale qui évolue très rapidement -- we live in a rapidly evolving global economy,nous vivons dans une économie mondiale qui évolue très rapidement,10,we live in a rapidly evolving global economy,72,4138,72 | 4138
554,publique,Emotions,"adj,nf",public,* la morale publique ne peut être sacrifiée au progrès -- public morals can't be sacrificed for progress,la morale publique ne peut être sacrifiée au progrès,9,public morals can't be sacrificed for progress,74,3815,74 | 3815
555,faux,Emotions,"adv,adj(pl),nm(pl),nf(pl)",false; scythe,* ce ne sont pas là de fausses accusations -- these aren't false accusations,ce ne sont pas là de fausses accusations,8,these aren't false accusations,86,1845,86 | 1845
572,noir,Colors,nadj,black,* seule la police roule en noir et blanc? -- only the police drive black-and-white vehicles?,seule la police roule en noir et blanc?,8,only the police drive black-and-white vehicles?,74,3652,74 | 3652
574,double,none,nadj(f),double,* on parle beaucoup de la double peine pour les délinquants étrangers -- there's much talk about doubling sentences for foreign delinquents,on parle beaucoup de la double peine pour les délinquants étrangers,11,there's much talk about doubling sentences for foreign delinquents,90,1303,90 | 1303
584,actuel,none,adj,"current, present",* les gens ont peur du gouvernement actuel -- people fear the current government,les gens ont peur du gouvernement actuel,7,people fear the current government,72,3949,72 | 3949
592,technique,none,nadj(f),"technique, technics, technical",* parlons un peu de votre technique -- let's talk a little about your technique,parlons un peu de votre technique,6,let's talk a little about your technique,78,2856,78 | 2856
599,riche,Emotions,nadj(f),rich,"* elle est jolie, riche, mince ... et amoureuse de mon mari -- she is cute, rich, thin ... and in love with my husband","elle est jolie, riche, mince ... et amoureuse de mon mari",11,"she is cute, rich, thin ... and in love with my husband",87,1522,87 | 1522
600,bref,none,"adj,adv,nm",brief,* le rapport était bref et précis -- the report was brief and precise,le rapport était bref et précis,6,the report was brief and precise,87,1603,87 | 1603
607,gauche,none,nadj(f),left,* elle écrit de gauche à droite -- she writes from left to right,elle écrit de gauche à droite,6,she writes from left to right,79,2604,79 | 2604
610,capable,Emotions,adj(f),"able, capable",* je ne suis pas capable de répondre à votre question -- I'm not capable of responding to your question,je ne suis pas capable de répondre à votre question,10,I'm not capable of responding to your question,85,1869,85 | 1869
611,canadien,Nationalities,nadj,Canadian,* 75 p. 100 des Canadiens et des Canadiennes sont en bonne santé mentale -- 75% of male and female Canadians are in good mental health,75 p. 100 des Canadiens et des Canadiennes sont en bonne santé mentale,13,75% of male and female Canadians are in good mental health,47,8624-l -n +s,47 | 8624-l -n +s
618,large,none,"adj(f),adv,nm","wide, width",* tes yeux sont devenus plus larges -- your eyes got wider,tes yeux sont devenus plus larges,6,your eyes got wider,83,2025,83 | 2025
619,contraire,Emotions,nadj(f),"opposite, contrary",* mais le contraire est vrai aussi -- but the opposite is also true,mais le contraire est vrai aussi,6,but the opposite is also true,80,2529,80 | 2529
622,local,none,nadj,local,* nous respectons l'autonomie de chaque groupe local -- we respect the autonomy of each local group,nous respectons l'autonomie de chaque groupe local,7,we respect the autonomy of each local group,67,4422,67 | 4422
625,extérieur,none,nadj,exterior,* la porte extérieure s'ouvre -- the outer door opens,la porte extérieure s'ouvre,4,the outer door opens,81,2269,81 | 2269
640,directeur,Creating nouns – 1,nadj,director,* j'ai recu un mot du directeur -- I received a note from the director,j'ai recu un mot du directeur,6,I received a note from the director,75,3074,75 | 3074
643,précis,Emotions,nadj(pl),precise,* c'est à cet instant précis que je suis devenu adulte -- at that precise moment I became an adult,c'est à cet instant précis que je suis devenu adulte,10,at that precise moment I became an adult,85,1684,85 | 1684
645,mère,Family,"adj,nf",mother,* peut-être que tous les enfants déçoivent leur mère -- perhaps all children disappoint their mother,peut-être que tous les enfants déçoivent leur mère,8,perhaps all children disappoint their mother,65,4595,65 | 4595
652,impossible,Emotions,nadj(f),impossible,* je peux te rendre la vie impossible -- I can make life impossible for you,je peux te rendre la vie impossible,7,I can make life impossible for you,84,1823,84 | 1823
654,véritable,none,adj(f),"real, true",* les véritables coupables restaient en liberté -- the true guilty parties remained free,les véritables coupables restaient en liberté,6,the true guilty parties remained free,81,2210,81 | 2210
658,total,none,nadj,total,"* Ming, c'est l'anarchiste total -- Ming is the absolute anarchist","Ming, c'est l'anarchiste total",4,Ming is the absolute anarchist,76,2793,76 | 2793
663,énorme,none,adj(f),enormous,* je pense que c'est un énorme effort -- I think it's an enormous effort,je pense que c'est un énorme effort,7,I think it's an enormous effort,87,1415,87 | 1415
665,réel,Emotions,nadj,real,* nous avons toutefois un problème réel -- we still have a real problem,nous avons toutefois un problème réel,6,we still have a real problem,78,2535,78 | 2535
671,vieux,none,"adj(pl),nm(pl)",old,"* ça fait trop longtemps, mon vieil ami -- it has been too long, my old friend","ça fait trop longtemps, mon vieil ami",7,"it has been too long, my old friend",66,4194,66 | 4194
672,rapide,none,nadj(f),"fast, quick",* elle parle d'une voix rapide et menue -- she talks in a rapid and small voice,elle parle d'une voix rapide et menue,7,she talks in a rapid and small voice,86,1458,86 | 1458
675,essentiel,none,nadj,essential,* ils sont tous désignés comme employés essentiels -- they are all designated essential employees,ils sont tous désignés comme employés essentiels,7,they are all designated essential employees,80,2225,80 | 2225
688,financier,Professions,nadj,"financial, financier",* j'ai aussi travaillé dans le monde financier -- I also worked in the financial sector,j'ai aussi travaillé dans le monde financier,7,I also worked in the financial sector,67,3986,67 | 3986
690,militaire,Professions,nadj(f),military,* la justice militaire me donne le droit à un avocat -- the military code of justice grants me the right to an attorney,la justice militaire me donne le droit à un avocat,10,the military code of justice grants me the right to an attorney,65,4334,65 | 4334
691,frais,Weather,"adj(pl),nm(pl)","cool, fresh; fee, expense",* on me paie mes frais de déplacement -- my travel expenses are being covered,on me paie mes frais de déplacement,7,my travel expenses are being covered,85,1563,85 | 1563
699,pauvre,Relationships,nadj(f),poor,"* vous êtes idiote, ma pauvre femme, comme toujours -- you're an idiot, my poor woman, as always","vous êtes idiote, ma pauvre femme, comme toujours",8,"you're an idiot, my poor woman, as always",78,2485,78 | 2485
703,matériel,none,nadj,"material, equipment",* nous avons déjà du nouveau matériel en chantier -- we already have new equipment on the construction site,nous avons déjà du nouveau matériel en chantier,8,we already have new equipment on the construction site,88,1241,88 | 1241
708,blanc,Colors,"adj,nm",white,* tu es donc noir à rayures blanches. dilemme résolu -- so you are black with white stripes. dilemma resolved,tu es donc noir à rayures blanches. dilemme résolu,9,so you are black with white stripes. dilemma resolved,73,3024,73 | 3024
713,dangereux,Emotions,adj(pl),dangerous,* ce type est dangereux -- this guy is dangerous,ce type est dangereux,4,this guy is dangerous,85,1488,85 | 1488
723,faible,Emotions,nadj(f),weak,* je devenais de plus en plus faible -- I became progressively weaker,je devenais de plus en plus faible,7,I became progressively weaker,75,2665,75 | 2665
726,spécial,Emotions,adj,special,* je fais rien de spécial -- I'm not doing anything special,je fais rien de spécial,5,I'm not doing anything special,79,2201,79 | 2201
743,pire,none,nadj(f),"worse, worst",* c'est le pire jour de ma vie! -- it's the worst day of my life!,c'est le pire jour de ma vie!,7,it's the worst day of my life!,85,1495,85 | 1495
752,divers,none,"adj(pl),det","diverse, various",* des formes très diverses surgissent sous vos yeux -- widely varying patterns dance before your eyes,des formes très diverses surgissent sous vos yeux,8,widely varying patterns dance before your eyes,78,2176,78 | 2176
760,naturel,Emotions,nadj,natural,* c'est un sentiment tout à fait naturel -- it's a perfectly natural feeling,c'est un sentiment tout à fait naturel,7,it's a perfectly natural feeling,81,1894,81 | 1894
764,heureux,Emotions,nadj(pl),"happy, lucky, fortunate",* je n'étais pas heureuse non plus -- I wasn't happy either,je n'étais pas heureuse non plus,6,I wasn't happy either,73,2834-n,73 | 2834-n
769,instant,Time,"adj,nm","instant, moment",* je suis à vous dans un instant -- I'll be with you in a moment,je suis à vous dans un instant,7,I'll be with you in a moment,69,3227,69 | 3227
780,commun,none,nadj,common,* il a quelque chose de commun avec d'autres problèmes que nous vivons -- it has something in common with the other problems we're experiencing,il a quelque chose de commun avec d'autres problèmes que nous vivons,12,it has something in common with the other problems we're experiencing,81,1795,81 | 1795
784,anglais,Nationalities,nadj(pl),English,* où as-tu appris l'anglais? -- where did you learn English?,où as-tu appris l'anglais?,4,where did you learn English?,82,1669,82 | 1669
786,feu,Natural features and plants,"adj(f),nm",fire,* réchauffez-vous près du feu -- warm yourself by the fire,réchauffez-vous près du feu,4,warm yourself by the fire,74,2612,74 | 2612
787,neuf,none,"det,adj,nmi",nine; new,* on devait avoir des vêtements neufs! -- we should have new clothes!,on devait avoir des vêtements neufs!,6,we should have new clothes!,75,2513,75 | 2513
796,secret,Emotions,nadj,secret,* j'en connais tous les secrets -- I know all the relevant secrets,j'en connais tous les secrets,5,I know all the relevant secrets,80,1867,80 | 1867
801,nul,none,"adj,det,pro","nil, null",* les préservatifs c'est nul. ils marchent pas -- condoms are crap. they don't work,les préservatifs c'est nul. ils marchent pas,7,condoms are crap. they don't work,82,1649,82 | 1649
803,cher,none,"adj,adv",expensive,* j'ai payé cher pour le savoir -- I paid dearly to find out about that,j'ai payé cher pour le savoir,6,I paid dearly to find out about that,77,2163,77 | 2163
820,précédent,none,nadj,precedent; previous,* le manège précédent a été construit en 1950 -- the previous merry-go-round was built in 1950,le manège précédent a été construit en 1950,8,the previous merry-go-round was built in 1950,75,2383,75 | 2383
822,facile,Emotions,adj(f),easy,* il n'y avait rien de plus facile -- nothing was easier,il n'y avait rien de plus facile,7,nothing was easier,79,1853,79 | 1853
828,fédéral,none,nadj,federal,* le gouvernement fédéral a contribué au problème -- the federal government contributed to the problem,le gouvernement fédéral a contribué au problème,7,the federal government contributed to the problem,54,5018-l +s,54 | 5018-l +s
833,normal,Emotions,adj,normal,"* j'ai une vie plutôt normale, avec un mari, des enfants -- I have a rather normal life, with a husband, children","j'ai une vie plutôt normale, avec un mari, des enfants",10,"I have a rather normal life, with a husband, children",77,2091,77 | 2091
838,proche,none,"adv,nadj(f),prep","nearby, close",* nous n'avions pas de famille proche -- we didn't have any close relatives,nous n'avions pas de famille proche,6,we didn't have any close relatives,75,2300,75 | 2300
839,direct,Emotions,nadj,direct,* on parle toujours des émissions en direct -- they always talk about live broadcasts,on parle toujours des émissions en direct,7,they always talk about live broadcasts,79,1885,79 | 1885
842,pratique,none,nadj(f),"practice, practical",* les résultats pratiques obtenus sont-ils très probants? -- are the practical results very convincing?,les résultats pratiques obtenus sont-ils très probants?,7,are the practical results very convincing?,76,2127,76 | 2127
844,allemand,Nationalities,nadj,German,"* un type fume une cigarette allemande, l'air pensif -- a guy smokes a German cigarette, with a pensive air","un type fume une cigarette allemande, l'air pensif",8,"a guy smokes a German cigarette, with a pensive air",71,2755-s,71 | 2755-s
876,supérieur,Emotions,nadj,superior,* je suis votre supérieur ecclésiastique -- I'm your religious superior,je suis votre supérieur ecclésiastique,5,I'm your religious superior,74,2307,74 | 2307
