number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
206,chez,none,prep,"at, with",* elle ira peut être vivre définitivement chez lui -- she might go live with him permanently,elle ira peut être vivre définitivement chez lui,8,she might go live with him permanently,78,8646,78 | 8646,prep,no_noun_verb_adj_bucket
207,te,none,pro,"you, to you, from you",* je vais t'emmener chez un médecin -- I'm going to take you to a doctor,je vais t'emmener chez un médecin,6,I'm going to take you to a doctor,51,23312-n +s,51 | 23312-n +s,pro,no_noun_verb_adj_bucket
214,votre,none,det,your,* permettez-moi de vous parler dans votre langue -- allow me to speak to you in your language,permettez-moi de vous parler dans votre langue,7,allow me to speak to you in your language,64,15483-n +s,64 | 15483-n +s,det,no_noun_verb_adj_bucket
229,ni,none,conj,nor,"* je ne mange pas de viandes, ni de produits laitiers -- I don't eat meat or dairy products","je ne mange pas de viandes, ni de produits laitiers",10,I don't eat meat or dairy products,77,8528,77 | 8528,conj,no_noun_verb_adj_bucket
240,selon,none,prep,according to,* tout est prêt selon vos désirs -- everything's ready according to your wishes,tout est prêt selon vos désirs,6,everything's ready according to your wishes,68,11561,68 | 11561,prep,no_noun_verb_adj_bucket
256,lorsque,none,conj,when,* que se passe-t-il lorsque nous manquons de sucre? -- what happens when we lack sugar?,que se passe-t-il lorsque nous manquons de sucre?,8,what happens when we lack sugar?,74,8682,74 | 8682,conj,no_noun_verb_adj_bucket
297,quoi,none,pro,what,* je ne sais pas de quoi vous parlez -- I don't know what you're talking about,je ne sais pas de quoi vous parlez,8,I don't know what you're talking about,63,10985-n +s,63 | 10985-n +s,pro,no_noun_verb_adj_bucket
300,or,Materials,"conj,nm","gold; hence, thus",* je ne suis pas chercheuse d'or -- I'm not a gold-digger,je ne suis pas chercheuse d'or,6,I'm not a gold-digger,87,3245,87 | 3245,conj|nm,moved_from_nouns_contains_adv_or_conj
323,chacun,none,pro,each,"* ils ont chacun leurs intérêts, leurs passions -- they each have their own interests, passions","ils ont chacun leurs intérêts, leurs passions",7,"they each have their own interests, passions",84,3785,84 | 3785,pro,no_noun_verb_adj_bucket
389,parmi,none,prep,among,* il y en a un parmi vous qui est un démon -- one among you is a demon,il y en a un parmi vous qui est un démon,11,one among you is a demon,84,3165,84 | 3165,prep,no_noun_verb_adj_bucket
404,afin,none,conj,"order to, so that",* fixer des cordes afin de descendre en rappel -- set some ropes so that you can rappel down,fixer des cordes afin de descendre en rappel,8,set some ropes so that you can rappel down,76,4800,76 | 4800,conj,no_noun_verb_adj_bucket
406,malgré,none,prep,"despite, in spite of",* nous serons bons amis malgré tout -- we will be good friends in spite of it all,nous serons bons amis malgré tout,6,we will be good friends in spite of it all,85,2886,85 | 2886,prep,no_noun_verb_adj_bucket
522,lui-même,none,pro,himself,* il ne s'est pas sauvé lui-même -- he didn't save himself,il ne s'est pas sauvé lui-même,6,he didn't save himself,76,3563,76 | 3563,pro,no_noun_verb_adj_bucket
524,voilà,none,prep,"right, there, here","* tiens, c'est pour toi. voilà -- here, this is for you. take it","tiens, c'est pour toi. voilà",5,"here, this is for you. take it",68,5135-n,68 | 5135-n,prep,no_noun_verb_adj_bucket
528,puisque,none,conj,since,* je ne lui répondais pas puisque j'étais muet -- I didn't answer him since I was a mute,je ne lui répondais pas puisque j'étais muet,8,I didn't answer him since I was a mute,82,2615,82 | 2615,conj,no_noun_verb_adj_bucket
596,d'après,none,prep,to,"* qui a bâti les pyramides d'après vous? -- according to you, who built the pyramids?",qui a bâti les pyramides d'après vous?,7,"according to you, who built the pyramids?",90,1183,90 | 1183,prep,no_noun_verb_adj_bucket
732,ceci,none,pro,this,* tout ceci est votre création -- this is all your creation,tout ceci est votre création,5,this is all your creation,81,1915,81 | 1915,pro,no_noun_verb_adj_bucket
736,d'accord,none,intj,"okay, alright","* je m'en occupe, d'accord? -- I'll take care of it, OK?","je m'en occupe, d'accord?",4,"I'll take care of it, OK?",62,4443+s,62 | 4443+s,intj,no_noun_verb_adj_bucket
772,quelqu'un,none,pro,"somebody, someone",* il vaudrait mieux le demander au quelqu'un -- it would be better to ask someone about it,il vaudrait mieux le demander au quelqu'un,7,it would be better to ask someone about it,71,3014-n +s,71 | 3014-n +s,pro,no_noun_verb_adj_bucket
795,durant,none,prep,"during, for",* j'ai travaillé sur ce problème durant toute ma carrière -- I have worked on this problem for my entire career,j'ai travaillé sur ce problème durant toute ma carrière,9,I have worked on this problem for my entire career,79,2002,79 | 2002,prep,no_noun_verb_adj_bucket
889,euh,none,intj,"er, um, uh",* il faut euh avoir euh une intention particulière -- you um have to have um a particular intention,il faut euh avoir euh une intention particulière,8,you um have to have um a particular intention,39,7099-l -n +s,39 | 7099-l -n +s,intj,no_noun_verb_adj_bucket
975,tandis,none,,while,* il pria tandis que l'océan gelait -- he prayed while the ocean froze over,il pria tandis que l'océan gelait,6,he prayed while the ocean froze over,74,1984-s,74 | 1984-s,,no_noun_verb_adj_bucket
1103,voici,none,prep,"here is, here are, this is, these are",* voici le résultat de l'essai -- here's the result of the test,voici le résultat de l'essai,5,here's the result of the test,76,1575,76 | 1575,prep,no_noun_verb_adj_bucket
1170,sinon,none,conj,"otherwise, or else","* mais n'anticipons pas, sinon nous n'arriverons jamais -- let's not get impatient or we'll never arrive there","mais n'anticipons pas, sinon nous n'arriverons jamais",7,let's not get impatient or we'll never arrive there,75,1552,75 | 1552,conj,no_noun_verb_adj_bucket
1177,etc,none,,"etc., et cetera","* j'ai dormi dans les gares, etc. -- I slept in train stations, etc.","j'ai dormi dans les gares, etc.",6,"I slept in train stations, etc.",66,2229,66 | 2229,,no_noun_verb_adj_bucket
1361,oh,none,intj,oh,* au secours! oh non! -- help! oh no!,au secours! oh non!,4,help! oh no!,54,2666-n +s,54 | 2666-n +s,intj,no_noun_verb_adj_bucket
1379,elle-même,none,pro,"herself, itself",* la révolte n'est pas en elle-même un élément de civilisation -- rebellion is not by itself an element of civilization,la révolte n'est pas en elle-même un élément de civilisation,10,rebellion is not by itself an element of civilization,71,1444,71 | 1444,pro,no_noun_verb_adj_bucket
1405,ah,none,intj,"ah, oh",* ah oui? tu commences à m'intéresser -- oh yeah? you're starting to interest me,ah oui? tu commences à m'intéresser,6,oh yeah? you're starting to interest me,57,2404-n +s,57 | 2404-n +s,intj,no_noun_verb_adj_bucket
1498,d'autant,none,,since,* il lui est d'autant plus facile d'en acquérir d'autres -- it's so much easier for him to buy other ones,il lui est d'autant plus facile d'en acquérir d'autres,9,it's so much easier for him to buy other ones,75,1120-s,75 | 1120-s,,no_noun_verb_adj_bucket
1527,moi-même,none,pro,myself,* j'aimerais redevenir moi-même -- I would like to become myself again,j'aimerais redevenir moi-même,3,I would like to become myself again,73,1153-n,73 | 1153-n,pro,no_noun_verb_adj_bucket
1692,eh,none,intj,"hey, uh","* eh bien, j'ai changé d'avis -- well, I have changed my mind","eh bien, j'ai changé d'avis",5,"well, I have changed my mind",60,1647-n +s,60 | 1647-n +s,intj,no_noun_verb_adj_bucket
1928,ouais,none,intj,yeah,"* j'aime mon job. ouais, bien sûr -- I like my job. yeah, of course","j'aime mon job. ouais, bien sûr",6,"I like my job. yeah, of course",43,2215-l -n +s,43 | 2215-l -n +s,intj,no_noun_verb_adj_bucket
2076,hein,none,intj,"eh, huh","* c'est un bon club, hein? -- this is a good club, eh?","c'est un bon club, hein?",5,"this is a good club, eh?",46,1761-n +s,46 | 1761-n +s,intj,no_noun_verb_adj_bucket
2514,quelques-uns,none,pro,"some, a few",* j'ai retrouvé quelques-uns de ces poèmes -- I recovered some of these poems,j'ai retrouvé quelques-uns de ces poèmes,6,I recovered some of these poems,76,448,76 | 448,pro,no_noun_verb_adj_bucket
3222,quiconque,none,pro,"whoever, anyone who",* je donnerais ma chemise à quiconque en aurait besoin -- I would give my shirt to anyone who needed it,je donnerais ma chemise à quiconque en aurait besoin,9,I would give my shirt to anyone who needed it,72,342,72 | 342,pro,no_noun_verb_adj_bucket
3243,quoique,none,conj,"although, though","* je n'écrirai plus, quoique j'en souffre -- I don't write any more, though I suffer because of it","je n'écrirai plus, quoique j'en souffre",6,"I don't write any more, though I suffer because of it",67,412+l,67 | 412+l,conj,no_noun_verb_adj_bucket
3511,nous-mêmes,none,pro,ourselves,* on n'aurait pas fait mieux nous-mêmes -- we wouldn't have done better ourselves,on n'aurait pas fait mieux nous-mêmes,6,we wouldn't have done better ourselves,74,268,74 | 268,pro,no_noun_verb_adj_bucket
3513,via,none,prep,via,* j'ai déjà fait des interviews via Internet -- I have already been interviewed over the Internet,j'ai déjà fait des interviews via Internet,7,I have already been interviewed over the Internet,65,384,65 | 384,prep,no_noun_verb_adj_bucket
3871,hé,none,intj,hey,"* hé, les gars, regardez par ici -- hey, guys, look over here","hé, les gars, regardez par ici",6,"hey, guys, look over here",46,585-n +s,46 | 585-n +s,intj,no_noun_verb_adj_bucket
3940,autrui,none,pro,others,* vous ne pouvez pas les louer à autrui -- you're not allowed to rent them to others,vous ne pouvez pas les louer à autrui,8,you're not allowed to rent them to others,71,242,71 | 242,pro,no_noun_verb_adj_bucket
3952,hélas,none,intj,alas,"* hélas, je ne pourrai pas -- alas, I won't be able to","hélas, je ne pourrai pas",5,"alas, I won't be able to",71,248,71 | 248,intj,no_noun_verb_adj_bucket
4786,hormis,none,prep,"save, but","* hormis vous, personne n'a vu ce gamin -- except for you, nobody saw this kid","hormis vous, personne n'a vu ce gamin",7,"except for you, nobody saw this kid",76,136,76 | 136,prep,no_noun_verb_adj_bucket
4938,hum,none,intj,"um, uh","* hum, je suis nerveux, seulement -- uh, I'm just nervous","hum, je suis nerveux, seulement",5,"uh, I'm just nervous",42,411-l -n +s,42 | 411-l -n +s,intj,no_noun_verb_adj_bucket
4965,ha,none,intj,oh,* ha. ha. très drôle -- ha. ha. very funny,ha. ha. très drôle,4,ha. ha. very funny,60,232-n,60 | 232-n,intj,no_noun_verb_adj_bucket
