id,number,french_lemma,pos,pronoun_type,is_function_word,person,number_feature,gender_feature,english,chinese_translation,example_french,example_english,example_target_form,replaces_what,position_note,position_examples,usage_note,memory_note,range_count,frequency_raw
pro_0011,50,vous,pro,subject / object pronoun,true,2nd,plural or formal singular,all genders,you,你们；您,"ici, vous avez une personnalité publique","here, you are a public personality",vous,listener(s) as subject or object,subject vous before verb; object vous before verb,Vous parlez. | Je vous écoute. | Asseyez-vous.,Used for plural you or polite/formal singular you.,Vous can be one polite person or several people. Verb form is always vous-form.,65,77127-n +s
pro_0012,54,cela,pro,demonstrative pronoun,true,not applicable,singular concept / neutral,neutral,"that, it",那个；这件事；它,cela demande de l'intégrité et du courage,that requires integrity and courage,cela,"replaces a thing, idea, or situation",can be subject or object depending on sentence,Cela demande du courage. | Je sais cela. | Cela dit...,More formal than ça in many everyday contexts.,Cela is like a formal 'that/it' for an idea or situation.,73,50891-n +s
pro_0013,61,me,pro,object / reflexive pronoun,true,1st,singular,all genders,"me, to me, myself",我；给我；我自己,reviens me voir dans cinq ou six ans,come back to see me in five or six years,me,"speaker as direct object, indirect object, or reflexive object",before the conjugated verb; becomes m’ before vowel/silent h,Il me voit. | Il me parle. | Je m'appelle.,"Can be direct object, indirect object, or reflexive depending on verb.",Me is not always 'me' in English word order; French places it before the verb.,65,63357-n
pro_0014,64,lui,pro,indirect object / stressed pronoun,true,3rd,singular,masculine or feminine,"him, her",他/她；给他/给她,mais j'ai confiance qu'en lui,but I have confidence in him,lui,replaces à + person as indirect object; also stressed pronoun,indirect object before verb; stressed form after preposition or alone,Je lui parle. | Je pense à lui. | C'est lui.,"As indirect object, lui can mean to him or to her.",Lui is often for people with à: parler à Marie → lui parler.,75,38286
pro_0015,74,dont,pro,relative pronoun,true,not applicable,variable by referent,variable by referent,"whose, of which",其；关于/属于……的；de + 关系代词,on a tout ce dont tu rêvais en ville,everything you dreamed about is available in town,dont,replaces de + noun/person in a relative clause,introduces a relative clause,Ce dont tu parles. | La personne dont je parle. | Le livre dont j'ai besoin.,Useful when the verb or expression uses de.,Dont is the de-replacement relative pronoun: parler de → dont.,86,17841
pro_0016,92,lequel,pro,relative / interrogative pronoun,true,not applicable,singular,masculine,"who, whom, which",哪一个；关系代词 which/who,il y a bien des points sur lesquels je voudrais faire des commentaires,there are many points on which I would like to comment,lequel,"replaces a specific noun, often after a preposition",often after prepositions; has agreement forms,Lequel veux-tu ? | Sur lequel ? | Lesquels préfères-tu ?,"Forms include lequel, laquelle, lesquels, lesquelles.",Lequel behaves like a pronoun with agreement. It often appears after prepositions.,87,12507
pro_0017,112,tu,pro,subject pronoun,true,2nd,singular,all genders,you,你,"a ma place, tu ne le ferais pas","in my position, you would not do it",tu,one familiar listener as subject,before the conjugated verb,Tu parles. | Tu viens ? | Tu le sais.,Informal/familiar singular you.,Tu is informal singular. Do not confuse with vous for formal or plural.,54,42483-n +s
pro_0018,161,eux,pro,stressed pronoun,true,3rd,plural,masculine / mixed group,them,他们；它们（阳性/混合）,c'est eux qui comptent,they are the ones who matter,eux,masculine or mixed plural people/things in stressed position,"after preposition, after c'est, or used for emphasis","C'est eux. | Je pense à eux. | Eux, ils savent.","Stressed pronoun, not the normal subject form.",Eux is the strong/stressed form. Subject form is ils.,87,6631
pro_0019,207,te,pro,object / reflexive pronoun,true,2nd,singular,all genders,"you, to you, from you",你；给你；你自己,je vais t'emmener chez un médecin,I'm going to take you to a doctor,te,familiar listener as object or reflexive object,before the conjugated verb; becomes t’ before vowel/silent h,Je te vois. | Je te parle. | Tu t'appelles comment ?,Informal singular object/reflexive pronoun.,Te is before the verb in French: je te vois.,51,23312-n +s
pro_0020,297,quoi,pro,interrogative / indefinite pronoun,true,not applicable,neutral,neutral,what,什么,je ne sais pas de quoi vous parlez,I don't know what you're talking about,quoi,unknown thing or object of a preposition,often after a preposition or in informal questions,De quoi parles-tu ? | Tu fais quoi ? | À quoi ça sert ?,"Often used after prepositions: de quoi, à quoi.",Quoi often appears after prepositions; que is more often direct question object before verb.,63,10985-n +s
pro_0021,323,chacun,pro,indefinite pronoun,true,not applicable,singular meaning each one,masculine form; feminine chacune,each,每个人；每一个,"ils ont chacun leurs intérêts, leurs passions","they each have their own interests, passions",chacun,each person/thing individually,can be subject or object; often used with chacun de,Chacun a son rôle. | Chacun de nous. | Ils ont chacun leurs intérêts.,Feminine form: chacune.,"Chacun means one by one, each individually.",84,3785
pro_0022,522,lui-même,pro,emphatic reflexive pronoun,true,3rd,singular,masculine,himself,他自己；它自己,il ne s'est pas sauvé lui-même,he didn't save himself,lui-même,emphasizes that the masculine singular subject/object is itself,usually after the noun/pronoun it emphasizes or after the verb phrase,Il l'a fait lui-même. | Lui-même le sait. | Il parle de lui-même.,Feminine: elle-même; plural: eux-mêmes/elles-mêmes.,"The -même form adds emphasis: himself, by himself.",76,3563
pro_0023,732,ceci,pro,demonstrative pronoun,true,not applicable,singular concept / neutral,neutral,this,这个；这件事,tout ceci est votre création,this is all your creation,ceci,"points to a nearby thing, idea, or statement",can be subject or object,Ceci est important. | Lis ceci. | Tout ceci est clair.,Often more formal/written than ça.,Ceci points to 'this here' or the thing being introduced.,81,1915
pro_0024,772,quelqu'un,pro,indefinite pronoun,true,not applicable,singular,usually masculine form; feminine quelqu'une is rare,"somebody, someone",某人；有人,il vaudrait mieux le demander au quelqu'un,it would be better to ask someone about it,quelqu'un,an unspecified person,can be subject or object,Quelqu'un arrive. | Je connais quelqu'un. | Demande à quelqu'un.,"Usually refers to a person, not a thing.","Quelqu'un = some person. For things, use quelque chose.",71,3014-n +s
pro_0025,1379,elle-même,pro,emphatic reflexive pronoun,true,3rd,singular,feminine,"herself, itself",她自己；它自己（阴性）,la révolte n'est pas en elle-même un élément de civilisation,rebellion is not by itself an element of civilization,elle-même,emphasizes that the feminine singular subject/object is itself,usually after the noun/pronoun it emphasizes or after the verb phrase,Elle l'a fait elle-même. | Elle-même le sait. | En elle-même.,Masculine: lui-même; plural: elles-mêmes/eux-mêmes.,Elle-même adds emphasis: herself / itself.,71,1444
pro_0026,1527,moi-même,pro,emphatic reflexive pronoun,true,1st,singular,all genders,myself,我自己,j'aimerais redevenir moi-même,I would like to become myself again,moi-même,emphasizes the speaker,usually after the noun/pronoun it emphasizes or after the verb phrase,"Je l'ai fait moi-même. | Moi-même, je ne sais pas. | Je veux redevenir moi-même.",Used for emphasis or identity.,"Moi-même = myself, often with emphasis.",73,1153-n
pro_0027,2514,quelques-uns,pro,indefinite pronoun,true,not applicable,plural,masculine / mixed; feminine quelques-unes,"some, a few",几个；一些,j'ai retrouvé quelques-uns de ces poèmes,I recovered some of these poems,quelques-uns,a few people or things,can be subject or object; often followed by de + plural noun,Quelques-uns sont partis. | J'en ai choisi quelques-uns. | Quelques-uns de ces poèmes.,Feminine form: quelques-unes.,Quelques-uns is pronoun form; quelques alone is usually determiner before noun.,76,448
pro_0028,3222,quiconque,pro,indefinite / relative pronoun,true,not applicable,singular generic,all genders / generic,"whoever, anyone who",任何人；无论谁,je donnerais ma chemise à quiconque en aurait besoin,I would give my shirt to anyone who needed it,quiconque,any person who / whoever,usually introduces or refers to a generic person,"Quiconque veut venir peut venir. | Je l'aiderai, quiconque il soit.",More formal than n'importe qui.,Quiconque is formal: whoever / anyone who.,72,342
pro_0029,3511,nous-mêmes,pro,emphatic reflexive pronoun,true,1st,plural,all genders,ourselves,我们自己,on n'aurait pas fait mieux nous-mêmes,we wouldn't have done better ourselves,nous-mêmes,emphasizes the speaker group,usually after the noun/pronoun it emphasizes or after the verb phrase,"Nous l'avons fait nous-mêmes. | Nous-mêmes, nous savons. | On l'a fait nous-mêmes.",Used for emphasis or by ourselves.,Nous-mêmes = ourselves. It adds emphasis to nous/on.,74,268
pro_0030,3940,autrui,pro,indefinite pronoun,true,not applicable,generic singular concept,neutral / generic,others,他人；别人,vous ne pouvez pas les louer à autrui,you're not allowed to rent them to others,autrui,other people in general,often after prepositions or in formal expressions,Respecter autrui. | Penser à autrui. | Le bien d'autrui.,Formal/literary word for others/other people.,Autrui is formal. Think 'other people' rather than a specific person.,71,242
