number,french_lemma,thematic,pos,english,chinese_explanation,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,gender,lemma_article,plural_form,plural_type
160,gouvernement,none,nm,government,政府,* le gouvernement a augmenté les impôts -- the government increased taxes,le gouvernement a augmenté les impôts,6,the government increased taxes,58,25743+s,58 | 25743+s,m,le,gouvernements,regular -s
169,cours,none,"nf(pl),nm(pl)",course,课程,* ils organisaient des petits cours et des séminaires -- they organized short courses and seminars,ils organisaient des petits cours et des séminaires,8,they organized short courses and seminars,82,8559,82 | 8559,m,le,cours,unchanged ending s/x/z
170,affaire,none,nf,"business, matter",事情；事务；生意,* occupe-toi de tes affaires -- mind your own business,occupe-toi de tes affaires,4,mind your own business,80,9899,80 | 9899,f,l’,affaires,regular -s
171,nom,none,nm,name,名字,* quel est son nom? -- what is his name?,quel est son nom?,4,what is his name?,85,6836,85 | 6836,m,le,noms,regular -s
172,famille,Family,nf,family,家庭；家人,* il provient sûrement d'une excellente famille -- he surely comes from an excellent family,il provient sûrement d'une excellente famille,6,he surely comes from an excellent family,87,5986,87 | 5986,f,la,familles,regular -s
173,effet,none,nm,effect,效果；影响,"* il s'agit, en effet, d'une question cruciale -- it is, indeed, a crucial question","il s'agit, en effet, d'une question cruciale",7,"it is, indeed, a crucial question",83,8142,83 | 8142,m,l’,effets,regular -s
178,mois,Time,nm(pl),month,月,* il a écrit ce livre en deux mois -- he wrote this book in two months,il a écrit ce livre en deux mois,8,he wrote this book in two months,82,8318,82 | 8318,m,le,mois,unchanged ending s/x/z
182,vers,none,"nm(pl),prep",toward; verse,朝向；诗句；约/大约,* un tram se dirige vers toi. monte dedans -- a tram is approaching you. get on it,un tram se dirige vers toi. monte dedans,8,a tram is approaching you. get on it,77,10203,77 | 10203,m,le,vers,unchanged ending s/x/z
183,besoin,none,nm,need,需要,* nous avons vraiment besoin d'aide -- we really need some help,nous avons vraiment besoin d'aide,5,we really need some help,82,7899,82 | 7899,m,le,besoins,regular -s
187,groupe,none,nm,group,小组；群体,* on va commencer avec le premier groupe -- we'll start with the first group,on va commencer avec le premier groupe,7,we'll start with the first group,76,10535,76 | 10535,m,le,groupes,regular -s
188,problème,none,nm,problem,问题,* nous avons osé soulever le problème -- we dared raise the problem,nous avons osé soulever le problème,6,we dared raise the problem,76,10795+s,76 | 10795+s,m,le,problèmes,regular -s
189,rapport,none,nm,"relationship, report",关系；报告,* je propose que le rapport du comité soit adopté -- I move that the committee's report be adopted,je propose que le rapport du comité soit adopté,9,I move that the committee's report be adopted,75,11146,75 | 11146,m,le,rapports,regular -s
191,vue,none,nf,view,观点；视野,"* la vue est belle, de cette fenêtre -- the view from this window is pretty","la vue est belle, de cette fenêtre",7,the view from this window is pretty,87,5172,87 | 5172,f,la,vues,regular -s
197,ordre,none,nm,order,顺序；命令；订单,* ce sont des scientifiques de premier ordre -- they are first-rate scientists,ce sont des scientifiques de premier ordre,7,they are first-rate scientists,86,5610,86 | 5610,m,l’,ordres,regular -s
203,service,none,nm,service,服务,* je faisais mon service militaire -- I was doing my military service,je faisais mon service militaire,5,I was doing my military service,75,10131,75 | 10131,m,le,services,regular -s
204,ministre,Professions,"nm,nf",minister,部长；牧师；可作阳性或阴性,* les ministres se sont réunis dans la nuit -- the ministers met during the night,les ministres se sont réunis dans la nuit,8,the ministers met during the night,57,20107-l,57 | 20107-l,both,le/la,ministres,regular -s
205,face,none,nf,"front, side, face",前面；一边；方面；脸；表面,* on s'est trouvés face à face -- we found ourselves face to face,on s'est trouvés face à face,6,we found ourselves face to face,85,5438,85 | 5438,f,la,faces,regular -s
220,mot,none,nm,word,词；话语,* je ne crois pas un mot sorti de ta petite bouche -- I don't believe a single word from your little mouth,je ne crois pas un mot sorti de ta petite bouche,11,I don't believe a single word from your little mouth,81,7191,81 | 7191,m,le,mots,regular -s
222,force,none,nf,force,力量,* parle-moi de ces forces surnaturelles -- talk to me of these supernatural forces,parle-moi de ces forces surnaturelles,5,talk to me of these supernatural forces,80,7546,80 | 7546,f,la,forces,regular -s
223,situation,Creating nouns – 2,nf,situation,情况,"* dans des situations aussi difficiles, il faut trancher -- in such difficult situations, drastic measures must be taken","dans des situations aussi difficiles, il faut trancher",8,"in such difficult situations, drastic measures must be taken",79,7616,79 | 7616,f,la,situations,regular -s
228,projet,none,nm,project,项目,* le gouvernement ne financerait aucun projet touchant cette pratique -- the government would not fund any project involving this practice,le gouvernement ne financerait aucun projet touchant cette pratique,9,the government would not fund any project involving this practice,60,16661+s,60 | 16661+s,m,le,projets,regular -s
232,train,Transportation,nm,train,火车,* je pris le train pour un aller-retour vers la mer -- I took the train on a round-trip outing to the sea,je pris le train pour un aller-retour vers la mer,10,I took the train on a round-trip outing to the sea,90,3198,90 | 3198,m,le,trains,regular -s
236,gens,none,nm(pl),people,人们；人民,* des gens sont venus me voir -- people came to see me,des gens sont venus me voir,6,people came to see me,70,11090-n +s,70 | 11090-n +s,m,les,gens,plural-only
238,grâce,none,nf,"thanks, grace, favour",感谢；优雅；恩典,* je ne vous demande aucune grâce -- I'm not asking you for any favors,je ne vous demande aucune grâce,6,I'm not asking you for any favors,90,3271,90 | 3271,f,la,grâces,regular -s
239,idée,none,nf,idea,想法,* que pensez-vous de cette idée? -- what do you think of this idea?,que pensez-vous de cette idée?,5,what do you think of this idea?,81,6128,81 | 6128,f,l’,idées,regular -s
241,région,none,nf,region,地区,* la région a connu une cinquantaine de massacres -- the region has experienced some fifty massacres,la région a connu une cinquantaine de massacres,8,the region has experienced some fifty massacres,78,7352,78 | 7352,f,la,régions,regular -s
243,sens,none,nm(pl),"sense, meaning",感觉；意义；意思,* il manquait un sens à donner à ma vie -- there was a lack of meaning in my life,il manquait un sens à donner à ma vie,9,there was a lack of meaning in my life,82,5836,82 | 5836,m,le,sens,unchanged ending s/x/z
245,semaine,Time,nf,week,星期,* ma pièce se jouait cette semaine -- my play was showing that week,ma pièce se jouait cette semaine,6,my play was showing that week,79,6831,79 | 6831,f,la,semaines,regular -s
248,façon,none,nf,"way, manner",方式；方法,"* c'est une façon de voir, je suppose -- it's a way of looking at it, I guess","c'est une façon de voir, je suppose",7,"it's a way of looking at it, I guess",75,8326,75 | 8326,f,la,façons,regular -s
249,nombre,none,nm,number,数字；数量,* il existe un nombre infini de réponses possibles -- there are an infinite number of possible answers,il existe un nombre infini de réponses possibles,8,there are an infinite number of possible answers,78,7158,78 | 7158,m,le,nombres,regular -s
253,quatre,none,"det,nmi",four,数字名词：四；作名词时通常为阳性,* nous sommes quatre étudiants dans la maison -- we're four students sharing a house,nous sommes quatre étudiants dans la maison,7,we're four students sharing a house,80,6272,80 | 6272,m,le,quatre,number noun / usually invariable
254,compte,none,nm,"account, count",账户；计算；考虑,* cette ville a eu son compte de désastres -- this city has had its fair share of disasters,cette ville a eu son compte de désastres,8,this city has had its fair share of disasters,81,5923,81 | 5923,m,le,comptes,regular -s
259,exemple,none,nm,example,例子,* ces exemples sont encore bien pauvres -- these examples are still very weak,ces exemples sont encore bien pauvres,6,these examples are still very weak,73,8876,73 | 8876,m,l’,exemples,regular -s
260,ville,none,nf,city,城市,* nous étions de la même ville -- we were from the same city,nous étions de la même ville,6,we were from the same city,81,5914,81 | 5914,f,la,villes,regular -s
262,mesure,Creating nouns – 1,nf,measure,措施；测量；尺寸,* écrire me libère dans une certaine mesure -- writing liberates me to a certain extent,écrire me libère dans une certaine mesure,7,writing liberates me to a certain extent,70,9966,70 | 9966,f,la,mesures,regular -s
263,histoire,Time,nf,"history, story",历史；故事,* on a raconté d'amusantes histoires -- we told funny stories,on a raconté d'amusantes histoires,5,we told funny stories,80,6193,80 | 6193,f,l’,histoires,regular -s
266,guerre,none,nf,war,战争,"* c'est nul, la guerre! -- war is nothing!","c'est nul, la guerre!",4,war is nothing!,77,6897,77 | 6897,f,la,guerres,regular -s
267,loi,none,nf,law,法律,* je vais voter contre le projet de loi -- I'm going to vote against the bill,je vais voter contre le projet de loi,8,I'm going to vote against the bill,53,17361+s,53 | 17361+s,f,la,lois,regular -s
268,président,Professions,nm,president,总统；主席,* j'ai rencontré le président des Etats-Unis -- I met the president of the U.S.,j'ai rencontré le président des Etats-Unis,6,I met the president of the U.S.,63,12235,63 | 12235,m,le,présidents,regular -s
273,bureau,none,nm,"office, desk",办公室；书桌,* il veut vous voir dans son bureau immédiatement -- he wants to see you in his office immediately,il veut vous voir dans son bureau immédiatement,8,he wants to see you in his office immediately,91,2518,91 | 2518,m,le,bureaux,regular -x
280,marché,none,nm,market,市场,* le marché des maisons est resté stable -- the housing market has remained stable,le marché des maisons est resté stable,7,the housing market has remained stable,74,7783,74 | 7783,m,le,marchés,regular -s
281,condition,Creating nouns – 2,nf,condition,条件；状况,* l'unité de la condition humaine -- the unity of the human condition,l'unité de la condition humaine,5,the unity of the human condition,80,5589,80 | 5589,f,la,conditions,regular -s
288,cinq,none,"det,nm(pl)",five,数字名词：五；作名词时通常为阳性,"* j'ai cinq minutes, je dois rencontrer quelqu'un à midi -- I have five minutes--I have to meet someone at noon","j'ai cinq minutes, je dois rencontrer quelqu'un à midi",9,I have five minutes--I have to meet someone at noon,77,6263,77 | 6263,m,le,cinq,number noun / usually invariable
289,système,none,nm,system,系统,* j'ai décrit le système idéal -- I described the ideal system,j'ai décrit le système idéal,5,I described the ideal system,65,10450,65 | 10450,m,le,systèmes,regular -s
291,jeu,Sports,nm,game,游戏,* nous n'entrons pas dans le jeu de la politique -- we don't enter into the political fray,nous n'entrons pas dans le jeu de la politique,9,we don't enter into the political fray,85,3874,85 | 3874,m,le,jeux,regular -x
294,madame,none,nf,"madam, lady",女士；夫人,"* et je suis au service de madame -- I'm at your service, ma'am",et je suis au service de madame,7,"I'm at your service, ma'am",71,8195,71 | 8195,f,la,mesdames,irregular
295,société,none,nf,society,社会；协会,* on vit dans une société où tout s'accélère -- we live in a society where everything is accelerating,on vit dans une société où tout s'accélère,8,we live in a society where everything is accelerating,73,7615,73 | 7615,f,la,sociétés,regular -s
298,entreprise,none,nf,"enterprise, business",企业；公司；事业,* j'ai moi-même l'esprit d'entreprise -- I myself have an entrepreneurial spirit,j'ai moi-même l'esprit d'entreprise,4,I myself have an entrepreneurial spirit,72,7912,72 | 7912,f,l’,entreprises,regular -s
299,coup,none,nm,"coup, blow, knock, stroke",一击；动作；事件；政变,* je lui donne juste un coup de main. je le lui dois -- I'm just giving him a helping hand. I owe it to him,je lui donne juste un coup de main. je le lui dois,12,I'm just giving him a helping hand. I owe it to him,77,6123,77 | 6123,m,le,coups,regular -s
307,million,none,nm,million,一百万；百万这个数,* un quart de million d'articles ont été distribués -- a quarter million articles were distributed,un quart de million d'articles ont été distribués,8,a quarter million articles were distributed,69,8380,69 | 8380,m,le,millions,regular -s
308,manière,none,nf,"manner, way",方式；态度,"* de cette manière, nous serons ensemble -- this way, we will be together","de cette manière, nous serons ensemble",6,"this way, we will be together",80,5094,80 | 5094,f,la,manières,regular -s
310,prix,none,nm(pl),price; prize,价格；奖品,* il y a un prix pour les gagnants -- there is a prize for the winners,il y a un prix pour les gagnants,8,there is a prize for the winners,78,5543,78 | 5543,m,le,prix,unchanged ending s/x/z
311,terme,none,nm,"term, deadline",术语；期限；终点,* l'éducation sur le long terme paiera -- education will pay off in the long term,l'éducation sur le long terme paiera,6,education will pay off in the long term,77,5905,77 | 5905,m,le,termes,regular -s
315,intérêt,none,nm,interest,利息；兴趣,* l'avenir ne présente guère d'intérêt -- the future is hardly interesting,l'avenir ne présente guère d'intérêt,5,the future is hardly interesting,77,5773,77 | 5773,m,l’,intérêts,regular -s
317,information,Creating nouns – 2,nf,information,信息,* ces dirigeants ont décidé de taire ces informations -- these leaders decided to suppress this information,ces dirigeants ont décidé de taire ces informations,8,these leaders decided to suppress this information,73,6966,73 | 6966,f,l’,informations,regular -s
318,détail,none,nm,detail,细节,* vous devriez tout me raconter en détails -- you should tell me everything in minute detail,vous devriez tout me raconter en détails,7,you should tell me everything in minute detail,92,1765,92 | 1765,m,le,détails,regular -s; check rare -ail→aux exceptions
320,liberté,none,nf,"liberty, freedom",自由,* on se bat pour la liberté d'expression -- we're fighting for freedom of expression,on se bat pour la liberté d'expression,7,we're fighting for freedom of expression,86,3350,86 | 3350,f,la,libertés,regular -s
325,maison,none,nf,house,房子,* elle est revenue habiter à la maison -- she came back to live at home,elle est revenue habiter à la maison,7,she came back to live at home,76,5803,76 | 5803,f,la,maisons,regular -s
328,niveau,none,nm,level,等级；水平,* ce niveau de collaboration ne sera pas maintenu -- this level of cooperation will not be maintained,ce niveau de collaboration ne sera pas maintenu,8,this level of cooperation will not be maintained,71,7236,71 | 7236,m,le,niveaux,regular -x
330,ton,none,"det,nm",your; tone,你的；语气；音调,* le ton était donné -- the tone was sounded,le ton était donné,4,the tone was sounded,57,12083-n +s,57 | 12083-n +s,m,le,tons,regular -s
331,œuvre,none,nf,"work, task",工作；作品；任务,* peu d'auteurs font référence à son œuvre -- few authors cite his work,peu d'auteurs font référence à son œuvre,7,few authors cite his work,84,3754,84 | 3754,f,l’,œuvres,regular -s
333,état,none,nm,state,状态；国家,* la police était en état d'alerte maximum -- the police were in a full state of emergency,la police était en état d'alerte maximum,7,the police were in a full state of emergency,74,6400,74 | 6400,m,l’,états,regular -s
340,programme,none,nm,program,项目；节目；程序,* utilisons ce programme comme il se doit -- let's use this program the way it should be,utilisons ce programme comme il se doit,7,let's use this program the way it should be,69,7525,69 | 7525,m,le,programmes,regular -s
342,ligne,none,nf,line,线；行,* il ne compte qu'une seule ligne de texte -- it only has a single line of text,il ne compte qu'une seule ligne de texte,8,it only has a single line of text,80,4557,80 | 4557,f,la,lignes,regular -s
343,tête,Body,nf,head,头,* ma tête me gratte -- my head is itchy,ma tête me gratte,4,my head is itchy,71,6952,71 | 6952,f,la,têtes,regular -s
351,sorte,none,nf,"sort, kind",种类,* la boisson est une sorte de drogue -- liquor is a kind of drug,la boisson est une sorte de drogue,7,liquor is a kind of drug,79,4741,79 | 4741,f,la,sortes,regular -s
353,sujet,none,nm,"subject, topic",主题；科目；话题,* je cherchais un sujet de mémoire -- I was looking for a thesis topic,je cherchais un sujet de mémoire,6,I was looking for a thesis topic,73,6227,73 | 6227,m,le,sujets,regular -s
355,action,Creating nouns – 2,nf,action,行动,* le président devrait éviter des actions irréfléchies -- the president should avoid rash actions,le président devrait éviter des actions irréfléchies,7,the president should avoid rash actions,78,4997,78 | 4997,f,l’,actions,regular -s
356,relation,Creating nouns – 2,nf,relationship,关系,* il y a là une relation intéressante à explorer -- now there is an interesting relationship to explore,il y a là une relation intéressante à explorer,9,now there is an interesting relationship to explore,81,4222,81 | 4222,f,la,relations,regular -s
357,recherche,none,nf,"research, search",研究；搜索,* la recherche en santé peut se révéler extrêmement bénéfique -- health research can be extremely beneficial,la recherche en santé peut se révéler extrêmement bénéfique,9,health research can be extremely beneficial,77,5132,77 | 5132,f,la,recherches,regular -s
358,livre,none,"nm,nf",book,书；可作阳性或阴性,* je me mis à feuilleter les livres -- I began paging through the books,je me mis à feuilleter les livres,7,I began paging through the books,70,7124,70 | 7124,both,le/la,livres,regular -s
362,doute,none,nm,doubt,怀疑,"* il n'y a sans doute rien à voir -- without a doubt, there's nothing to see",il n'y a sans doute rien à voir,8,"without a doubt, there's nothing to see",80,4304,80 | 4304,m,le,doutes,regular -s
363,reste,none,nm,rest,休息；剩余部分,"* c'est tout. le reste, je m'en fous -- that's all. for the rest, I couldn't give a sh*t","c'est tout. le reste, je m'en fous",7,"that's all. for the rest, I couldn't give a sh*t",87,2607,87 | 2607,m,le,restes,regular -s
364,début,none,nm,beginning,开始,* je l'ai expliqué au début de mon discours -- I explained it at the beginning of my talk,je l'ai expliqué au début de mon discours,8,I explained it at the beginning of my talk,77,5096,77 | 5096,m,le,débuts,regular -s
365,présence,none,nf,presence,存在；出席,* j'ai besoin de sa présence; elle est mon ange -- I need to be in her presence; she is my angel,j'ai besoin de sa présence; elle est mon ange,9,I need to be in her presence; she is my angel,88,2475,88 | 2475,f,la,présences,regular -s
369,forme,none,nf,form,表格；形式,* les électrons ne sont plus sous forme de gaz -- the electrons are no longer in the form of gas,les électrons ne sont plus sous forme de gaz,9,the electrons are no longer in the form of gas,79,4533,79 | 4533,f,la,formes,regular -s
370,décision,Creating nouns – 2,nf,decision,决定,"* parfois, vos décisions nous déçoivent -- sometimes your decisions disappoint us","parfois, vos décisions nous déçoivent",5,sometimes your decisions disappoint us,73,5924,73 | 5924,f,la,décisions,regular -s
371,rôle,none,nm,role,角色；作用,* il joue un rôle actif sur la scène internationale -- he plays an active role in the international scene,il joue un rôle actif sur la scène internationale,9,he plays an active role in the international scene,79,4354,79 | 4354,m,le,rôles,regular -s
372,dix,none,"det,nmi",ten,数字名词：十；作名词时通常为阳性,* je patiente depuis dix minutes -- I have been patiently waiting for ten minutes,je patiente depuis dix minutes,5,I have been patiently waiting for ten minutes,81,3871,81 | 3871,m,le,dix,number noun / usually invariable
373,produit,none,nm,product,产品,* de nouveaux marchés s'ouvrent ainsi aux produits français -- new markets are thus opening to French products,de nouveaux marchés s'ouvrent ainsi aux produits français,8,new markets are thus opening to French products,79,4492,79 | 4492,m,le,produits,regular -s
375,minute,Time,nf,minute,分钟,* vous ne pouvez pas attendre deux minutes -- you can't wait two minutes,vous ne pouvez pas attendre deux minutes,7,you can't wait two minutes,81,4025,81 | 4025,f,la,minutes,regular -s
378,peuple,none,nm,people,人们；人民,* ma vengeance va s'abattre sur votre peuple! -- my vengeance will smite your people!,ma vengeance va s'abattre sur votre peuple!,7,my vengeance will smite your people!,84,3206,84 | 3206,m,le,peuples,regular -s
383,position,Creating nouns – 2,nf,position,位置；职位,* ils ne changent pas de position à ce sujet -- they aren't changing positions on this subject,ils ne changent pas de position à ce sujet,9,they aren't changing positions on this subject,78,4628,78 | 4628,f,la,positions,regular -s
384,développement,none,nm,development,发展,* nous allons poursuivre le développement de nos activités -- we will pursue the development of our activities,nous allons poursuivre le développement de nos activités,8,we will pursue the development of our activities,74,5540,74 | 5540,m,le,développements,regular -s
386,chef,Professions,nm,"head, leader, chief",首领；负责人；厨师,* vous surestimez le pouvoir des chefs d'Etat -- you overestimate the power of the heads of state,vous surestimez le pouvoir des chefs d'Etat,7,you overestimate the power of the heads of state,71,6263,71 | 6263,m,le,chefs,regular -s
387,économie,none,nf,economy,经济,* les exportations sont le moteur de notre économie -- exports are what drive our economy,les exportations sont le moteur de notre économie,8,exports are what drive our economy,76,4973,76 | 4973,f,l’,économies,regular -s
388,effort,none,nm,effort,努力,* ils doivent faire un effort pour nous comprendre -- they have to make an effort to understand us,ils doivent faire un effort pour nous comprendre,8,they have to make an effort to understand us,83,3239,83 | 3239,m,l’,efforts,regular -s
390,membre,Relationships,nm,member,成员,* j'espère que tous les membres seront présents -- I hope that all the members will be present,j'espère que tous les membres seront présents,7,I hope that all the members will be present,67,7128,67 | 7128,m,le,membres,regular -s
397,soir,Time,nm,evening,晚上,* il est environ neuf heures du soir -- it's about nine o'clock in the evening,il est environ neuf heures du soir,7,it's about nine o'clock in the evening,70,6293,70 | 6293,m,le,soirs,regular -s
399,titre,none,nm,title,标题,* ils nous accuseront à juste titre -- they are rightly accusing us,ils nous accuseront à juste titre,6,they are rightly accusing us,79,4197,79 | 4197,m,le,titres,regular -s
401,objet,none,nm,objective; object,物体；对象；目的,* Mathias remit l'objet dans sa poche -- Mathias returned the object into his pocket,Mathias remit l'objet dans sa poche,6,Mathias returned the object into his pocket,81,3622,81 | 3622,m,l’,objets,regular -s
405,peine,none,nf,"effort, trouble",痛苦；努力；刑罚,* mes jambes ne me soutenaient qu'à peine -- my legs barely kept me standing,mes jambes ne me soutenaient qu'à peine,7,my legs barely kept me standing,78,4273,78 | 4273,f,la,peines,regular -s
407,période,Time,"nm,nf",period,时期,* j'étais amoureuse pendant une brève période de ma vie -- I was in love for a brief period of my life,j'étais amoureuse pendant une brève période de ma vie,9,I was in love for a brief period of my life,79,4114,79 | 4114,f,la,périodes,regular -s
414,voix,Body,nf(pl),voice,声音；嗓音,"* viens, me dit-elle d'une voix brève -- come, she said in a curt voice","viens, me dit-elle d'une voix brève",6,"come, she said in a curt voice",66,7218,66 | 7218,f,la,voix,unchanged ending s/x/z
416,base,none,nf,base,基础,* les matériaux de base sont toujours les mêmes -- the basic materials are always the same,les matériaux de base sont toujours les mêmes,8,the basic materials are always the same,78,4223,78 | 4223,f,la,bases,regular -s
418,main,Body,nf,hand,手,* nous avons marché main dans la main -- we walked hand-in-hand,nous avons marché main dans la main,7,we walked hand-in-hand,67,6915+l,67 | 6915+l,f,la,mains,regular -s
421,retour,none,nm,return,返回；回报,* votre retour pose énormément de problèmes -- your return causes huge problems,votre retour pose énormément de problèmes,6,your return causes huge problems,81,3592,81 | 3592,m,le,retours,regular -s
423,occasion,Creating nouns – 2,nf,"chance, opportunity",机会,"* quand l'occasion se présentera, elle reviendra souvent -- when the opportunity arises, she'll return often","quand l'occasion se présentera, elle reviendra souvent",7,"when the opportunity arises, she'll return often",81,3484,81 | 3484,f,l’,occasions,regular -s
424,député,Nouns – differences across registers,nm,"deputy, parliamentary delegate",议员；代表,* j'ai écouté plusieurs interventions des députés -- I heard several deputies' speeches,j'ai écouté plusieurs interventions des députés,6,I heard several deputies' speeches,48,12395-l -n +s,48 | 12395-l -n +s,m,le,députés,regular -s
