number,french_lemma,thematic,pos,adverb_type,formation,is_invariable,placement_position,placement_note,placement_example_front,placement_example_end,example_target_form,memory_note,chinese_translation,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency,pos_tokens,reason
81,alors,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Alors, il faut continuer.","Il faut continuer; alors, il faut rester prudent.",alors,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,那么；然后；所以,"then, so",* et alors? vous revenez quand? -- so? when are you coming back ?,et alors? vous revenez quand?,5,so? when are you coming back ?,84,18443,84 | 18443,adv,no_noun_verb_adj_bucket
82,après,none,"adv,prep",time,simple adverb / preposition,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Après, je travaille.",Je travaille après.,après,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,之后,after,* il a succombé à ses blessures peu après -- he shortly thereafter succumbed to his wounds,il a succombé à ses blessures peu après,8,he shortly thereafter succumbed to his wounds,83,17733,83 | 17733,adv|prep,no_noun_verb_adj_bucket
91,peu,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est peu rapide.,Il travaille peu.,peu,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,少；一点,little,* un secret se dévoile peu à peu -- a secret unfolds little by little,un secret se dévoile peu à peu,7,a secret unfolds little by little,81,18830,81 | 18830,adv,no_noun_verb_adj_bucket
96,depuis,none,"adv,prep",time,simple adverb / preposition,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Depuis, je travaille.",Je travaille depuis.,depuis,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,自从；以来,"since, for",* je le connais depuis le lycée -- I have known him since high school,je le connais depuis le lycée,6,I have known him since high school,83,16243,83 | 16243,adv|prep,no_noun_verb_adj_bucket
97,point,none,"adv,nm",negation,simple adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,point,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,一点也不；点,point; at all,* je suis d'accord avec ce point de vue -- I'm in agreement with that point of view,je suis d'accord avec ce point de vue,8,I'm in agreement with that point of view,85,13938,85 | 13938,adv|nm,moved_from_nouns_contains_adv_or_conj
98,ainsi,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Ainsi, il faut continuer.","Il faut continuer; ainsi, il faut rester prudent.",ainsi,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,这样；因此,thus,* qu'est-ce qui le pousse à agir ainsi? -- what drives him to act that way?,qu'est-ce qui le pousse à agir ainsi?,7,what drives him to act that way?,86,12358,86 | 12358,adv,no_noun_verb_adj_bucket
103,toujours,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Toujours, je travaille.",Je travaille toujours.,toujours,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,总是；仍然,always,* tu es toujours en retard -- you're always late,tu es toujours en retard,5,you're always late,81,15106,81 | 15106,adv,no_noun_verb_adj_bucket
109,là,none,"adv,intj",place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Là, je reste.",Je reste là.,là,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,那里；这里,"there, here",* je n'étais pas passé par là -- I hadn't passed by there,je n'étais pas passé par là,6,I hadn't passed by there,73,21735-n,73 | 21735-n,adv|intj,no_noun_verb_adj_bucket
119,quand,none,"adv,conj",time,simple adverb / conjunction,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Quand, je travaille.",Je travaille quand.,quand,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,什么时候；当……时,when,* tu aurais dû me tuer quand tu en as eu l'occasion -- you should have killed me when you had the chance,tu aurais dû me tuer quand tu en as eu l'occasion,11,you should have killed me when you had the chance,75,18704,75 | 18704,adv|conj,no_noun_verb_adj_bucket
121,contre,none,"adv,nm,prep",manner,simple adverb / preposition,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond contre.,Il a répondu contre.,contre,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,反对；靠着,against,"* je vois, tu es en colère contre moi -- I see you're angry with me","je vois, tu es en colère contre moi",8,I see you're angry with me,78,15564,78 | 15564,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
124,ensemble,none,"adv,nm",manner,simple adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond ensemble.,Il a répondu ensemble.,ensemble,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,一起,together,* on n'a jamais été si bien ensemble -- we've never gotten along so well together,on n'a jamais été si bien ensemble,7,we've never gotten along so well together,90,6055,90 | 6055,adv|nm,moved_from_nouns_contains_adv_or_conj
130,seulement,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut seulement comprendre.,Il parle français seulement.,seulement,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,只；仅仅,only,"* on va seulement rester quelques jours, ma chérie -- we're only going to stay a few days, my dear","on va seulement rester quelques jours, ma chérie",8,"we're only going to stay a few days, my dear",88,7546,88 | 7546,adv,no_noun_verb_adj_bucket
134,jusque,none,"adv,prep",manner,simple adverb / preposition,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond jusque.,Il a répondu jusque.,jusque,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,直到；到……为止,"to, up to, until",* ils me poursuivirent jusque dans la rue -- they followed me right into the street,ils me poursuivirent jusque dans la rue,7,they followed me right into the street,85,9482,85 | 9482,adv|prep,no_noun_verb_adj_bucket
150,beaucoup,Adverbs – differences across registers,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est beaucoup rapide.,Il travaille beaucoup.,beaucoup,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,很多；非常,"much, a lot of, many",* il est en mesure de révéler beaucoup de choses -- he's in a position to reveal many things,il est en mesure de révéler beaucoup de choses,9,he's in a position to reveal many things,78,12421,78 | 12421,adv,no_noun_verb_adj_bucket
166,soit,none,"adv,conj",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Soit, il faut continuer.","Il faut continuer; soit, il faut rester prudent.",soit,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,或者；也就是说,either...or,* il a pas le choix: soit il est une star soit il est rien -- he doesn't have a choice: either he's a star or he's nothing,il a pas le choix: soit il est une star soit il est rien,14,he doesn't have a choice: either he's a star or he's nothing,84,7623,84 | 7623,adv|conj,no_noun_verb_adj_bucket
167,ici,none,adv,place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Ici, je reste.",Je reste ici.,ici,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,这里,here,* moi je reste ici -- I'm going to stay here,moi je reste ici,4,I'm going to stay here,77,11898,77 | 11898,adv,no_noun_verb_adj_bucket
168,rien,none,"adv,nm,pro",negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,rien,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,什么也没有,nothing,"* moi, je n'en sais rien -- I don't know anything about it","moi, je n'en sais rien",5,I don't know anything about it,69,16549,69 | 16549,adv|nm|pro,moved_from_nouns_contains_adv_or_conj
179,jamais,none,adv,negation,negation marker / negative adverb,true,around_or_after_verb,Negation adverbs follow the verb structure. ne usually comes before the conjugated verb; pas/jamais/plus often comes after the conjugated verb or auxiliary.,Il ne parle pas.,Il n'a jamais parlé.,jamais,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,从不；永远不,never,* je jure de ne plus jamais te contacter -- I swear I will never contact you again,je jure de ne plus jamais te contacter,8,I swear I will never contact you again,73,12997,73 | 12997,adv,no_noun_verb_adj_bucket
181,tant,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est tant rapide.,Il travaille tant.,tant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,如此多；这么,"so much, so many",* mais vous avez tant à enseigner -- but you have so much to teach,mais vous avez tant à enseigner,6,but you have so much to teach,84,7284,84 | 7284,adv,no_noun_verb_adj_bucket
190,peut-être,none,adv,connector/logical,compound adverb / adverbial phrase,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Peut-être, il faut continuer.","Il faut continuer; peut-être, il faut rester prudent.",peut-être,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,也许；可能,"perhaps, maybe",* j'ai peut-être une idée -- I might have an idea,j'ai peut-être une idée,4,I might have an idea,79,9067,79 | 9067,adv,no_noun_verb_adj_bucket
192,maintenant,Adverbs – differences across registers,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Maintenant, je travaille.",Je travaille maintenant.,maintenant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,现在,now,* je ne peux pas partir maintenant -- I can't leave now,je ne peux pas partir maintenant,6,I can't leave now,78,9309+s,78 | 9309+s,adv,no_noun_verb_adj_bucket
193,pourquoi,Adverbs – differences across registers,"adv,conj,nmi",connector/logical,simple adverb / conjunction,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Pourquoi, il faut continuer.","Il faut continuer; pourquoi, il faut rester prudent.",pourquoi,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,为什么,why,* pourquoi tu ne m'invites pas? -- why don't you invite me?,pourquoi tu ne m'invites pas?,5,why don't you invite me?,74,11128-n +s,74 | 11128-n +s,adv|conj|nmi,moved_from_nouns_contains_adv_or_conj
195,trop,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est trop rapide.,Il travaille trop.,trop,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,太；过于,"too much, too many",* la vie est trop courte. essayez d'être heureuse -- life is too short. try to be happy,la vie est trop courte. essayez d'être heureuse,8,life is too short. try to be happy,78,9356,78 | 9356,adv,no_noun_verb_adj_bucket
198,devant,none,"adv,nm,prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Devant, je reste.",Je reste devant.,devant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,在前面,"in front, ahead",* une fumée montait devant nous sur l'horizon -- smoke billowed ahead of us on the horizon,une fumée montait devant nous sur l'horizon,7,smoke billowed ahead of us on the horizon,81,7783,81 | 7783,adv|nm|prep,moved_from_nouns_contains_adv_or_conj
225,près,none,"adv,prep",place,simple adverb / preposition,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Près, je reste.",Je reste près.,près,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,附近；接近,"near, nearby, close by",* il y a un siège vide près de vous -- there's an empty seat near you,il y a un siège vide près de vous,9,there's an empty seat near you,81,6660,81 | 6660,adv|prep,no_noun_verb_adj_bucket
230,puis,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Puis, il faut continuer.","Il faut continuer; puis, il faut rester prudent.",puis,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然后；于是,"then, so","* elle a tenté de me tuer, puis elle m'a chassée -- she tried to kill me, then she chased me","elle a tenté de me tuer, puis elle m'a chassée",10,"she tried to kill me, then she chased me",72,10366,72 | 10366,adv,no_noun_verb_adj_bucket
233,aujourd'hui,Time,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Aujourd'hui, je travaille.",Je travaille aujourd'hui.,aujourd'hui,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,今天；如今,today,"* je peux, aujourd'hui encore, en réciter -- even today I can still recite some of them","je peux, aujourd'hui encore, en réciter",6,even today I can still recite some of them,73,9905,73 | 9905,adv,no_noun_verb_adj_bucket
234,comment,Adverbs – differences across registers,"adv,conj,intj,nmi",manner,derived -ment adverb,true,after_verb_or_verb_group,Usually after the conjugated verb or after the whole verb group.,Il répond comment.,Il a répondu comment.,comment,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,怎样；如何,how,* voyons un peu comment les choses se sont passées -- let's take a look at how things unfolded,voyons un peu comment les choses se sont passées,9,let's take a look at how things unfolded,72,10133+s,72 | 10133+s,adv|conj|intj|nmi,moved_from_nouns_contains_adv_or_conj
235,surtout,none,"adv,nm",focus/restriction,simple adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut surtout comprendre.,Il parle français surtout.,surtout,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,尤其；特别是,"especially, above all",* j'ai surtout besoin d'argent -- what I need above all is money,j'ai surtout besoin d'argent,4,what I need above all is money,83,5548,83 | 5548,adv|nm,moved_from_nouns_contains_adv_or_conj
246,également,none,adv,focus/restriction,derived -ment adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut également comprendre.,Il parle français également.,également,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,也；同样地,"also, too, as well, equally",* reculer est également hors de question -- backing down is also not an option,reculer est également hors de question,6,backing down is also not an option,74,9011,74 | 9011,adv,no_noun_verb_adj_bucket
247,ci,none,"adv,pro",place,adverbial pronoun / short function word,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Ci, je reste.",Je reste ci.,ci,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,这里；这个,"this one, here","* et celui-ci? oui, il est vraiment super -- and this one here? yes, he's really great","et celui-ci? oui, il est vraiment super",7,"and this one here? yes, he's really great",83,5303,83 | 5303,adv|pro,no_noun_verb_adj_bucket
265,ensuite,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Ensuite, je travaille.",Je travaille ensuite.,ensuite,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,然后；接着,next,* ensuite il va au restaurant -- then he's going to the restaurant,ensuite il va au restaurant,5,then he's going to the restaurant,88,3533,88 | 3533,adv,no_noun_verb_adj_bucket
272,plutôt,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est plutôt rapide.,Il travaille plutôt.,plutôt,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,宁可；相当；更确切地,rather,* ce jet vole plutôt bas -- this jet is flying rather low,ce jet vole plutôt bas,5,this jet is flying rather low,83,4794,83 | 4794,adv,no_noun_verb_adj_bucket
275,quant,none,adv,connector/logical,simple adverb,true,sentence_beginning_or_between_clauses,Usually at the beginning of the sentence or between clauses to connect ideas.,"Quant, il faut continuer.","Il faut continuer; quant, il faut rester prudent.",quant,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,至于；关于,as for,* les vents tempêtueux ont modifié la situation quant aux avalanches -- the stormy winds changed the avalanche situation,les vents tempêtueux ont modifié la situation quant aux avalanches,10,the stormy winds changed the avalanche situation,89,2911,89 | 2911,adv,no_noun_verb_adj_bucket
284,oui,Adverbs – differences across registers,"adv,nmi",focus/restriction,simple adverb,true,before_focused_element_or_near_verb,Usually before the focused word or near the verb to limit or emphasize part of the sentence.,Il veut oui comprendre.,Il parle français oui.,oui,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,是；对,yes,"* oui, oui, je sais! -- yes, yes, I know","oui, oui, je sais!",4,"yes, yes, I know",62,12295n+s,62 | 12295n+s,adv|nmi,moved_from_nouns_contains_adv_or_conj
287,souvent,none,adv,frequency,simple adverb,true,after_conjugated_verb,"Usually after the conjugated verb. In passé composé, often between the auxiliary and the past participle.",Je souvent travaille.,J'ai souvent travaillé.,souvent,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,经常,often,"* mais alors souvent en fin de soirée c'est la fête -- well, often the night ends with a party",mais alors souvent en fin de soirée c'est la fête,10,"well, often the night ends with a party",79,5945,79 | 5945,adv,no_noun_verb_adj_bucket
312,longtemps,none,adv,time,simple adverb,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"Longtemps, je travaille.",Je travaille longtemps.,longtemps,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,很久；长时间,"long time, a long while",* pendant longtemps il ne bougea pas de son lit -- for a long while he didn't move from his bed,pendant longtemps il ne bougea pas de son lit,9,for a long while he didn't move from his bed,84,3743,84 | 3743,adv,no_noun_verb_adj_bucket
321,assez,none,adv,degree/intensity,simple adverb,true,before_modified_word,"Usually before the adjective, adverb, or phrase it modifies. With verbs, some degree adverbs can appear after the verb or verb group.",Il est assez rapide.,Il travaille assez.,assez,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,足够；相当,enough,* les journées ne sont plus assez longues -- the days are no longer long enough,les journées ne sont plus assez longues,7,the days are no longer long enough,77,5630,77 | 5630,adv,no_noun_verb_adj_bucket
326,d'abord,none,adv,time,compound adverb / adverbial phrase,true,sentence_beginning_or_end,Often at the beginning or end of the sentence. Short common time adverbs may also appear near the verb.,"D'abord, je travaille.",Je travaille d'abord.,d'abord,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,首先,first of all,* je voudrais d'abord savoir quel métier tu exerces -- I would first of all like to know what you do for a living,je voudrais d'abord savoir quel métier tu exerces,8,I would first of all like to know what you do for a living,83,3844,83 | 3844,adv,no_noun_verb_adj_bucket
341,loin,Adverbs – differences across registers,"adv,nm",place,simple adverb,true,after_verb_or_sentence_end,Usually after the verb/object or at the end of the sentence.,"Loin, je reste.",Je reste loin.,loin,Adverbs are invariable: they do not change for masculine/feminine or singular/plural. Focus on meaning type and placement.,远,far,* tu es venu de si loin -- you came from so far away,tu es venu de si loin,6,you came from so far away,80,4677,80 | 4677,adv|nm,moved_from_nouns_contains_adv_or_conj
